"DeptCode","VoteNumberModified","VoteStatType","DescriptionE","DescriptionF","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"AGR","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",81836000,19159000,57476000,75462000,18865000,56597000
"AGR","S",999,"Grant payments for the AgriInvest Kickstart program","Paiements de subventions pour le programme de démarrage d'Agri-investissement",0,0,-3000,0,-2000,-12000
"AGR","S",999,"Grant payments for the AgriInvest program","Paiements de subventions pour le programme Agri­investissement",126200000,57760000,174961000,131400000,-465000,-1557000
"AGR","S",999,"Grant payments for the AgriStability program","Paiements de subventions pour le programme Agri­-stabilité",41000000,-3463000,-7142000,90000000,15185000,16922000
"AGR","S",999,"Grant payments for the Agricultural Disaster Relief Program (ADRP)/AgriRecovery","Paiements de subventions pour le Programme d'aide en cas de catastrophe agricole – Agri-relance",0,0,13000,0,0,0
"AGR","S",999,"Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de subventions pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks",0,-31000,-129000,0,-305000,-444000
"AGR","S",999,"Grants in support of the Cost of Production Benefit","Subventions à l'appui de l'Indemnité pour coûts de production",0,-5000,-6000,0,-1000,-3000
"AGR","S",999,"Grants in support of the Grain and Oilseed Payment program","Subventions à l'appui du programme de paiements relatifs aux céréales et oléagineux",0,-16000,-26000,0,-2000,-15000
"AGR","S",999,"Grants to agencies established under the Farm Products Agencies Act (R.S.C., 1985, c. F-4)","Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles (L.R.C. (1985), ch. F-4)",100000,0,0,100000,0,0
"AGR","S",999,"Loan guarantees under the Canadian Agricultural Loans Act","Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles",13111000,-7000,-26000,13111000,57000,221000
"AGR","S",999,"Minister of Agriculture and Agri-Food and Minister for the Canadian Wheat Board - Salary and motor car allowance","Ministre de l'Agriculture et de l'Agroalimentaire et ministre de la Commission canadienne du blé - Traitement et allocation pour automobile",79000,20000,59000,78000,20000,58000
"AGR","S",999,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)",94000000,13587000,49937000,94000000,14342000,45802000
"AGR","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,4000,0,1000,46000
"AGR","S",999,"Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets","Dépenses des produits de l'aliénation des biens meubles en surplus de la Couronne",7808000,1087000,2291000,5726000,843000,2285000
"CAS",30,1,"Operating/Program","Fonctionnement/Programme",65033000,14319000,42313000,63906000,14547000,42440000
"CAS","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",7165000,1792000,5374000,6972000,1743000,5229000
"CAS","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",4000,1000,4000,3000,0,3000
"CAS","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l’État",15000,0,0,11000,0,0
"CAT",55,1,"Operating/Program","Fonctionnement/Programme",1357266,369222,996520,1284898,317720,961326
"CAT","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",126850,31713,95138,126878,31720,95160
"CB",45,1,"Operating/Program","Fonctionnement/Programme",2825000,667000,1881000,2956000,579000,1561000
"CB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",303000,75000,226000,303000,76000,227000
"CBSA",10,1,"Operating/Program","Fonctionnement/Programme",1727513000,332067000,984094000,1676482000,338251000,994739000
"CBSA",15,2,"Capital","Capital",261247000,36583000,76449000,202162000,15989000,39839000
"CBSA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",185933000,44791000,134373000,181490000,45373000,136119000
"CBSA","S",999,"Court Awards","Montants adjugés par une cour",0,-14000,0,0,1000,66000
"CBSA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,24000,0,4000,63000
"CBSA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,56000,319000,0,72000,292000
"CCMD",40,1,"Operating/Program","Fonctionnement/Programme",42472000,11191000,39218000,45159000,16038000,41799000
"CCMD","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",6233000,1558000,4675000,6446000,1613000,4837000
"CCMD","S",999,"Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act","Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada",81391000,5330000,11339000,77752000,7243000,19955000
"CCRA",1,1,"Operating/Program","Fonctionnement/Programme",3309228000,734715000,2269871000,3363551000,778572000,2337717000
"CCRA",5,2,"Capital","Capital",110012000,18127000,43016000,83433000,12807000,28275000
"CCRA","S",999,"Children's Special Allowance payments (Children's Special Allowances Act)","Versements d'allocations spéciales pour enfants (Loi sur les allocations spéciales pour enfants)",238000000,58288000,177763000,233000000,58950000,178031000
"CCRA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",442552000,110638000,331914000,456440000,114110000,342330000
"CCRA","S",999,"Court awards - Supreme Court","Montants adjugés par une cour -- Cour canadienne de l'impôt",0,24000,24000,0,0,0
"CCRA","S",999,"Court awards - Tax Court of Canada","Montants adjugés par une cour -- Cour canadienne de l'impôt",0,52000,490000,0,838000,1421000
"CCRA","S",999,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006","Versements aux provinces en vertu de la Loi de 2006 sur les droits d'exportation de produits de bois d'oeuvre",283000000,26011000,32082000,280000000,43578000,154794000
"CCRA","S",999,"Energy Cost Benefit","Paiements en vertu de la Loi sur les mesures d'aide liées au coût de l'énergie",0,0,1000,0,0,1000
"CCRA","S",999,"Minister's Salary and Motor Car Allowan","Traitement et allocation pour automobile du ministre",79000,20000,59000,78000,19000,58000
"CCRA","S",999,"Payments to private collection agencies pursuant to section 17.1 of the Financial Administration Act","Paiements aux agences privées de recouvrement en vertu de l'article 17.1 de la Loi sur la gestion des finances publiques",0,0,0,0,-1000,-2000
"CCRA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,28000,134000,0,12000,56000
"CCRA","S",999,"Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act","Dépense des recettes résultant de la poursuite des opérations en vertu de l'article 60 de la Loi sur l'Agence du revenu du Canada",193779000,48678000,106051000,206769000,46296000,95205000
"CEAA",15,1,"Operating/Program","Fonctionnement/Programme",30230829,7749110,18725594,29411331,6150035,16456516
"CEAA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",2863886,715971,2147915,1776941,444235,1184627
"CEO",15,1,"Operating/Program","Fonctionnement/Programme",31556000,7491000,22735000,31174000,7140000,21146000
"CEO","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",4969000,1656000,4969000,3894000,1298000,3894000
"CEO","S",999,"Electoral expenditures","Dépenses électorales",48290000,24306000,48290000,43088000,18418000,43088000
"CEO","S",999,"Expenses underElectoral Boundaries Reajustment Act","Dépenses en vertu de la Loi sur révision des limites des circonscriptions électorales",981000,239000,981000,5515000,2328000,5515000
"CEO","S",999,"Salary of Chief Electoral Officer","Traitement du directeur général des élections",224000,76000,224000,216000,73000,216000
"CEO","S",999,"Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets","Dépenses des produits de l'aliénation des biens meubles en surplus de la Couronne",4000,2000,4000,5000,0,5000
"CFGB",15,1,"Operating/Program","Fonctionnement/Programme",6333080,1254012,3769527,6407257,1307307,3683759
"CFGB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",607519,151880,455639,610029,152507,457522
"CFIA",20,1,"Operating/Program","Fonctionnement/Programme",599853000,143321000,412302000,594159000,142036000,413111000
"CFIA",25,2,"Capital","Capital",28553000,3598000,7093000,41859000,4095000,9778000
"CFIA","S",999,"Refunds of previous years revenue","Remboursements de montant portés aux revenus d'exercices antérieur",0,1000,1000,0,0,0
"CFIA","S",999,"Collection Agency fees","Droits des agences de recouvrement",0,1000,2000,0,3000,4000
"CFIA","S",999,"Compensation payments","Paiements d'indemnisation",3500000,8445000,34407000,1500000,8451000,24601000
"CFIA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",83067000,19756000,59269000,79424000,19856000,59568000
"CFIA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,5000,105000,0,4000,34000
"CFIA","S",999,"Spending of revenues","Dépense des recettes",53161000,14802000,29623000,53161000,14369000,24864000
"CGC",30,1,"Operating/Program","Fonctionnement/Programme",34062000,1038000,30010000,31626000,8523000,24517000
"CGC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",3544000,393000,2567000,622000,156000,467000
"CGC","S",999,"Revolving fund net expenditures","Dépenses nettes du Fonds renouvelable",3200000,-2015000,-9129000,15452000,0,0
"CH",1,1,"Operating/Program","Fonctionnement/Programme",176754000,45901000,127574000,184516000,45516000,130262000
"CH",5,3,"Grants & Contributions","Subventions et Contributions",1131941000,169909000,698427000,1055824000,172132000,693222000
"CH","S",999,"Spending of proceeds from the disposal of Crown Assets","Dépense des produits de la vente de biens de l'État",0,10000,10000,0,11000,11000
"CH","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",20709000,5163000,15487000,21473000,3577000,14315000
"CH","S",999,"Minister of Canadian Heritage and Official Languages - Salary and motor car allowance","Ministre du Patrimoine canadien et des Langues officielles - Traitement et allocation pour automobile",79000,20000,59000,78000,19000,58000
"CH","S",999,"Minister of State (Sport) – Motor car allowance","Ministre d’État (Sports) - Allocation pour automobile",2000,1000,2000,2000,1000,2000
"CH","S",999,"Payments under the Lieutenant Governors Superannuation Act (R.S.C., 1985, c. L-8)","Paiements en vertu de la Loi sur la pension de retraite des lieutenants-gouverneurs (L.R.C. (1985), ch. L-8)",637000,0,294000,637000,0,228000
"CH","S",999,"Salaries of the Lieutenant-Governors","Traitements des lieutenants-gouverneurs",1196000,333000,999000,1196000,325000,987000
"CH","S",999,"Supplementary Retirement Benefits – Former Lieutenant-Governors","Prestations de retraite supplémentaires - lieutenants?gouverneurs précédents",182000,0,60000,182000,0,51000
"CHRC",10,1,"Operating/Program","Fonctionnement/Programme",21042938,4829834,14392501,22121474,5081969,14737775
"CHRC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",2600171,650042,1950128,2649295,662324,1986971
"CHRT",15,1,"Operating/Program","Fonctionnement/Programme",4344000,964000,2413000,4105000,1054000,2510000
"CHRT","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",404000,101000,303000,406000,102000,306000
"CI",1,1,"Operating/Program","Fonctionnement/Programme",605640000,123077000,355056000,576002000,122826000,351007000
"CI",5,3,"Grants & Contributions","Subventions et Contributions",952946000,208048000,686353000,961604000,211570000,691920000
"CI",9,4,"Debt Forgiveness","Debt Forgiveness",0,0,0,442000,0,0
"CI","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",58210000,14340000,43020000,56839000,14202000,42621000
"CI","S",999,"Court Awards","Montants adjugés par une cour",18000,2000,19000,30000,15000,30000
"CI","S",999,"Fees Returned in Connection with a Terminated Application","Remboursement de frais à l'égard de demande terminée",63800000,9521000,21070000,0,0,0
"CI","S",999,"Minister's Salary and Motor Car Allowan","Traitement et allocation pour automobile du ministre",79000,11000,60000,78000,19000,58000
"CI","S",999,"Passport Office Revolving Fund","Fonds renouvelable du Bureau des passeports",70373000,-54764000,-118579000,0,0,0
"CI","S",999,"Refunds of Previous Years Revenue","Remboursements de montants portés au revenus d’exercices antérieurs",5701000,-531000,5701000,7753000,1902000,7753000
"CI","S",999,"Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets","Dépenses des produits de l'aliénation des biens meubles en surplus de la Couronne",36000,4000,5000,36000,2000,2000
"CICS",5,1,"Operating/Program","Fonctionnement/Programme",5598960,1314143,3737598,6144362,1302587,3608619
"CICS","S",999,"Budgetary statutory authorities","Autorisations législatives budgétaires",437917,72986,291945,470367,117592,352775
"CIHR",15,1,"Operating/Program","Fonctionnement/Programme",50168000,11251000,32315000,52370000,11399000,34781000
"CIHR",20,3,"Grants & Contributions","Subventions et Contributions",941782000,179469000,622146000,928197000,170843000,612706000
"CIHR","S",999,"Budgetary statutory authorities","Autorisations législatives",6013000,1480000,4426000,6618000,1642000,4948000
"CIRB",10,1,"Operating/Program","Fonctionnement/Programme",12539254,2776556,8484314,12090786,2754313,7893266
"CIRB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",1637433,409358,1228075,1569617,392404,1177213
"CITT",25,1,"Operating/Program","Fonctionnement/Programme",9179000,2450000,6685000,10634000,2015000,5851000
"CITT","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",1250000,309000,925000,1240000,207000,827000
"CNEDA",25,1,"Operating/Program","Fonctionnement/Programme",12746000,2783000,7713000,13784000,2687000,7277000
"CNEDA",30,3,"Grants & Contributions","Subventions et Contributions",38664000,4246000,8212000,39862000,8010000,10710000
"CNEDA","S",999,"Budgetary Statutory Authorities","Autorisations législatives budgétaires",1024000,256000,768000,1172000,293000,879000
"CRTC",50,1,"Operating/Program","Fonctionnement/Programme",6764000,10273000,-11533000,10663000,11157000,-9273000
"CRTC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",6959000,1701000,5103000,6311000,1578000,4734000
"CSA",25,1,"Operating/Program","Fonctionnement/Programme",171180000,41332000,95767000,175082000,39213000,105222000
"CSA",30,2,"Capital","Capital",294607000,54277000,156163000,162228000,22793000,46579000
"CSA",35,3,"Grants & Contributions","Subventions et Contributions",33630000,989000,18678000,37599000,487000,19372000
"CSA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",10748000,2687000,8061000,11033000,2759000,8275000
"CSA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",20000,11000,13000,17000,0,16000
"CSC",25,1,"Operating/Program","Fonctionnement/Programme",2143426000,481611000,1409539000,2396525000,465701000,1384756000
"CSC",30,2,"Capital","Capital",456921000,101965000,227138000,547554000,108579000,228785000
"CSC","S",999,"CORCAN Net Expenditures (Revenues)","CORCAN Dépenses nettes (Revenus)",0,4515000,6791000,0,5142000,5993000
"CSC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",233117000,58279000,174837000,262737000,65684000,197053000
"CSC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l’État",1564000,552000,552000,2009000,89000,89000
"CT",85,1,"Operating/Program","Fonctionnement/Programme",2274948,248518,859818,2268770,433904,1205882
"CT","S",999,"Budgetary statutory authorities","Autorisations législatives budgétaires",164414,27402,109609,165225,41306,123919
"CTA",25,1,"Operating/Program","Fonctionnement/Programme",26616000,6257000,18602000,25428000,5921000,17141000
"CTA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",3507000,877000,2631000,3484000,871000,2613000
"CTAIB",10,1,"Operating/Program","Fonctionnement/Programme",27754000,7100000,19378000,27933000,7162000,20242000
"CTAIB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",3588000,860000,2652000,3519000,908000,2696000
"CTAIB","S",999,"Expenditures Re: Paragraph 29.1(1) of the Financial Administration Act","Dépenses paragraphe 29.1(1) de la Loi sur la gestion des finances publiques",18000,8000,8000,36000,20000,20000
"CTAIB","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de l'aliénation des biens meubles en surplus de la Couronne",45000,42000,45000,45000,45000,45000
"EA",1,1,"Operating/Program","Fonctionnement/Programme",1488828000,354574000,975832000,1418964000,310332000,893676000
"EA",15,1,"Operating/Program","Fonctionnement/Programme",65380000,11914000,34941000,72668000,13516000,35610000
"EA",5,2,"Capital","Capital",229268000,25406000,64304000,289994000,147882000,198622000
"EA",10,3,"Grants & Contributions","Subventions et Contributions",3256390000,697647000,1282228000,855477000,156603000,321657000
"EA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",101920000,26257000,73316000,83589000,21088000,63626000
"EA","S",999,"Court Awards - Crown Liability and Proceedings Act","Montants adjugés par une cour - Loi sur la responsabilité civile de l'État et le contentieux administratif",0,0,0,16000,0,16000
"EA","S",999,"DFATD Ministers' salary and motor car allowance","MAECD traitement et allocation pour automobile des ministres",219000,53000,139000,157000,39000,118000
"EA","S",999,"Encashment of notes issued to the development assistance funds of the International Financial Institutions","Encaissement de billets délivrés aux fonds d'aide des institutions financières internationales",30744000,0,16705000,0,0,0
"EA","S",999,"Passport Office Revolving Fund","Fonds renouvelable du Bureau des passeports",0,0,13578000,67654000,13740000,13753000
"EA","S",999,"Payment to the World Bank for the Advance Market Commitment for Pneumococcal Vaccines","Paiement à la Banque mondiale pour la garantie de marchés pour le vaccin contre le pneumocoque",17000000,0,17000000,0,0,0
"EA","S",999,"Payments under the Diplomatic Service (Special) Superannuation Act","Paiements en vertu de la Loi sur la pension spéciale du service diplomatique",250000,32000,72000,250000,16000,44000
"EA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",50000,25000,50000,2000,0,2000
"EA","S",999,"Spending of proceeds form the disposal of surplus Crown assets","Dépenses des produits de l'aliénation des biens meubles en surplus de la Couronne",2319000,1573000,1573000,1650000,0,0
"EC",1,1,"Operating/Program","Fonctionnement/Programme",738160000,182380000,511696000,765545000,172482000,486594000
"EC",5,2,"Capital","Capital",63789000,9363000,19902000,60795000,6707000,14302000
"EC",10,3,"Grants & Contributions","Subventions et Contributions",119745000,13575000,35581000,151530000,20019000,33483000
"EC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",91233000,22187000,66562000,88599000,29533000,66449000
"EC","S",999,"Minister's Salary and Motor Car Allowan","Traitement et allocation pour automobile du ministre",79000,20000,59000,78000,20000,58000
"EC","S",999,"Refund of previous years revenue","Remboursements de montants portés aux revenus d’exercices antérieurs",0,28000,407000,0,0,0
"EC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépense des gains provenant de la disposition des biens excédentaires de la Couronne",0,114000,334000,0,190000,410000
"ERC",60,1,"Operating/Program","Fonctionnement/Programme",1632496,270672,912008,1617117,405448,986598
"ERC","S",999,"Budgetary statutory authorities","Autorisations législatives budgétaires",103639,25910,77729,105170,26292,78877
"FEDSO",50,1,"Operating/Program","Fonctionnement/Programme",27469000,8540000,19793000,27171000,7324000,18011000
"FEDSO",55,3,"Grants & Contributions","Subventions et Contributions",214718000,36336000,74318000,231948000,20384000,50868000
"FEDSO","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",3323000,787000,2362000,3289000,823000,2467000
"FIN",1,1,"Operating/Program","Fonctionnement/Programme",117630000,28127000,74064000,119283000,28393000,74152000
"FIN",5,3,"Grants & Contributions","Subventions et Contributions",11435000,500000,7210000,224987000,672000,3177000
"FIN","S",999,"Additional Fiscal Equalization Payment - Total Transfer Protection (Part 1 — Federal-Provincial Fiscal Arrangements Act)","Paiement de péréquation supplémentaire - Protection sur les transferts totaux (Partie I - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",55806000,0,55806000,679660000,0,679660000
"FIN","S",999,"Additional Fiscal Equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)","Paiement de péréquation supplémentaire - Nouvelle-Écosse (Partie I - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",245785000,0,0,312308000,0,0
"FIN","S",999,"Addtional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act)","Paiment de péréquation supplémentaire - Nouvelle-Écosse (Loi sur les paiements de péréquation compensatoires supplémentaires à la Nouvelle-Écosse et à Terre-Neuve-et-Labrador)",89461000,0,0,146059000,0,0
"FIN","S",999,"Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)","Paiements de remplacement au titre des programmes permanents (Partie VI – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",-3531960000,-897351000,-2663331000,-3366415000,-832691000,-2515898000
"FIN","S",999,"Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)","Transfert canadien en matière de santé (Partie V.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",30283114000,7570779000,22712336000,28568975000,7142244000,21426731000
"FIN","S",999,"Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)","Transfert canadien en matière de programmes sociaux (Partie V.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",12215271000,3053818000,9161453000,11859486000,2964872000,8894615000
"FIN","S",999,"Canadian Millenium Scholarship Foundation (Budget Implementation Act, 1998)","Fondation canadienne des bourses d'études du millénaire (Loi d’exécution du budget de 1998)",0,0,-11000,0,0,0
"FIN","S",999,"Canadian Securities Regulation Regime Transition Office (Canadian Securities Regulation Regime Transition Office Act)","Bureau de transition vers un régime canadien de réglementation des valeurs mobilières (Loi sur le Bureau de transition vers un régime canadien de réglementation des valeurs mobilières)",5800000,0,0,0,0,0
"FIN","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",12203000,3051000,9153000,13143000,3286000,9857000
"FIN","S",999,"Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act","Paiements de dettes à des organisations internationales au nom des pays pauvres en vertu du paragraphe 18(1) de la Loi sur la reprise économique",51200000,0,0,51200000,0,0
"FIN","S",999,"Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act)","Péréquation fiscale (Partie I – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",16105194000,4026299000,12078896000,15422503000,3855626000,11566877000
"FIN","S",999,"Incentive for Provinces to Eliminate Taxes on Capital (Part IV — Federal-Provincial Fiscal Arrangements Act)","Incitatif pour l'élimination des impôts provinciaux sur le capital (Partie I - Loi sur les arrangments fiscaux entre le grouvernement fédéral et les provinces)",34780000,0,1405000,0,0,15000
"FIN","S",999,"Interest on Other Liabilities","Intérêts sur autres passifs",8677000000,2136262000,6455048000,9131000000,2255512000,6804765000
"FIN","S",999,"Interest on Unmatured Debt and Other Public Debt Costs","Frais d'intérêt relatifs à la dette non échue et autres coûts liés à la dette publique",17845000000,4034158000,13088917000,18537000000,4408461000,13115775000
"FIN","S",999,"Losses on Foreign Exchange","Pertes de change",0,71013000,190225000,0,-108827000,25618000
"FIN","S",999,"Minister of Finance - Salary and motor car allowance","Ministre des Finances – Traitement et allocation pour automobile",79000,20000,58000,78000,19000,58000
"FIN","S",999,"Minister of State – Motor car allowance","Ministre d'État (Finances) - Allocation pour automobile",2000,0,2000,0,1000,2000
"FIN","S",999,"Payment of Liabilities Previously Recorded as Revenue","Paiement d'éléments de passif enregistrés précédemment comme recettes",0,623000,4150000,0,700000,1571000
