"Deptcode","Department Name English - Public Accounts","Department Name Fench - Public Accounts","Applied Title (English)","Applied Title (French)","Legal Title (English)","Legal Title (French)","Ministerial Portfolio (English)","Ministerial Portfolio (French)","Appropriate Minister 1 - Name (English)","Appropriate Minister 1 - Title (English)","Appropriate Minister 2 - Name (English)","Appropriate Minister 2 - Title (English)","Appropriate Minister 3 - Name (English)","Appropriate Minister 3 - Title (English)","Appropriate Minister 1 - Name (French)","Appropriate Minister 1 - Title (French)","Appropriate Minister 2 - Name (French)","Appropriate Minister 2 - Title (French)","Appropriate Minister 3 - Name (French)","Appropriate Minister 3 - Title (French)","Institutional Head (English)","Institutional Head (French)","Mandate (English) [HTML]","Mandate (French) [HTML]","Institutional Form (English)","Institutional Form (French)","Enabling Instrument (English) [HTML]","Enabling Instrument (French) [HTML]","Website (English)","Website (French)"
,,,"Boards of Referees","NULL","Boards of Referees","Conseils arbitraux","Human Resources and Skills Development","Ressources humaines et Développement des compétences","Finley, Diane (Hon.)","Minister of Human Resources and Skills Development","NULL","NULL","NULL","NULL","Finley, Diane (L'hon.)","ministre des Ressources humaines et du Développement des compétences","NULL","NULL","NULL","NULL","NULL","NULL","<p>To make decisions on all issues arising from an appeal lodged under subsection 114(1) of the <em>Employment Insurance Act</em>.</p>","<p>Rendre des d&#233;cisions sur toutes les questions port&#233;es en appel en vertu du paragraphe 114(1) de la <em>Loi sur l&#8217;assurance&#8209;emploi</em></p>","Statutory and Other Agency","Organismes créés par une loi et autres organismes","<p><em>Employment Insurance Act</em>, S.C. 1996, c. 23</p>","<p><em>Loi sur l'assurance-emploi</em>, L.C. 1996, ch. 23</p>","www.ae-ei.gc.ca/eng/board/home.shtml","www.ae-ei.gc.ca/fra/conseil/accueil.shtml"
,,,"Buffalo and Fort Erie Public Bridge Authority","NULL","Buffalo and Fort Erie Public Bridge Authority","Buffalo and Fort Erie Public Bridge Authority","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Ron Rienas, General Manager","Ron Rienas, directeur général","<p>To construct, maintain, and operate the Peace Bridge between Buffalo, New York, and Fort Erie, Ontario.</p>","<p>Construire le Peace Bridge entre Buffalo (New York) et Fort Erie (Ontario) et en assurer l&#8217;entretien et l&#8217;exploitation.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Buffalo and Fort Erie Public Bridge Company Act</em>, S.C. 1934, c. 63</p>","<p><em>Loi concernant la &#171; Buffalo and Fort Erie Public Bridge Company &#187;</em>, L.C. 1934, ch. 63</p>","www.peacebridge.com","www.peacebridge.com"
,,,"Calgary Airport Authority","NULL","Calgary Airport Authority","Calgary Airport Authority","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Garth Atkinson, President and Chief Executive Officer","Garth Atkinson, président-directeur général","<p>To manage, operate, and develop the airport.</p>","<p>G&#233;rer, exploiter et am&#233;nager l&#8217;a&#233;roport.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Regional Airports Authorities Act</em>, R.S.A. 2000, c. R-9</p>","<p><em>Regional Airports Authorities Act</em>, R.S.A. 2000, c. R-9</p>","www.calgaryairport.com","www.calgaryairport.com"
,,,"Calgary Olympic Development Association","NULL","Calgary Olympic Development Association","Association de développement olympique de Calgary","Canadian Heritage and Official Languages","Patrimoine canadien et Langues officielles","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Barry Heck, President and Chief Executive Officer","Barry Heck, président-directeur général","<p>To foster the development of Canadian winter sport athletes, administer the Olympic Endowment Funds, and operate and maintain Canada Olympic Park.</p>","<p>Favoriser le d&#233;veloppement d&#8217;athl&#232;tes canadiens de sport d&#8217;hiver; administrer le Fonds de dotation olympique; assurer le fonctionnement et l&#8217;entretien du Parc olympique du Canada.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Societies Act</em>, R.S.A. 2000, c. S-14</p>","<p><em>Societies Act</em>, L.R.A. 2000, c. S-14</p>","www.winsportcanada.ca","www.winsportcanada.ca"
,,,"Canada Commonwealth Legacy Fund","NULL","Canada Commonwealth Legacy Fund","Fonds du legs des Jeux du Commonwealth","Canadian Heritage and Official Languages","Patrimoine canadien et Langues officielles","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Peter Webster, Chairman","Peter Webster, président","<p>To finance programming dedicated to developing standards of high performance and competitive excellence in domestic and international amateur sport.</p>","<p>Financer les programmes visant &#224; &#233;laborer des normes &#233;lev&#233;es de performance et d&#8217;excellence concurrentielle dans le sport amateur canadien et international.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Society Act</em>, R.S.B.C. 1996, c. 433. <br /> <em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32<br /> <em>Society Act</em>, R.S.B.C. 1996, ch. 433</p>","N.A.","N.A."
,,,"Canada Foundation for Innovation","NULL","Canada Foundation for Innovation","Fondation canadienne pour linnovation","Industry","Industrie","Paradis, Christian (Hon.)","Minister of Industry","NULL","NULL","NULL","NULL","Paradis, Christian (L'hon.)","ministre de l'Industrie","NULL","NULL","NULL","NULL","Gilles G. Patry, President and Chief Executive Officer","Gilles G. Patry, Président-directeur général","<p>To strengthen the capacity of Canadian universities, colleges, research hospitals, and non-profit research institutions to carry out world class research and technology development that benefits Canadians.</p>","<p>Accro&#238;tre la capacit&#233; des universit&#233;s, des coll&#232;ges, des h&#244;pitaux de recherche et des institutions de recherche &#224; but non lucratif au Canada de poursuivre des activit&#233;s de recherche et de d&#233;veloppement technologique de renomm&#233;e internationale qui produisent des retomb&#233;es pour les Canadiens</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Budget Implementation Act</em><em>, 1997</em>, S.C. 1997, c. 26</p>","<p><em>Loi d&#8217;ex&#233;cution du budget de 1997</em>, L.C. 1997, ch. 26</p>","www.innovation.ca","www.innovation.ca"
,,,"Sustainable Development Technologies Canada","NULL","Canada Foundation for Sustainable Development Technology","Fondation du Canada pour lappui technologique au développement durable","Natural Resources","Ressources naturelles","Oliver, Joe (Hon.)","Minister of Natural Resources","NULL","NULL","NULL","NULL","Oliver, Joe (L'hon.)","ministre des Ressources naturelles","NULL","NULL","NULL","NULL","Vicky Sharpe, President and Chief Executive Officer","Vicky Sharpe, présidente et directrice générale","<p>To act as the primary catalyst in building a sustainable development technology infrastructure in Canada by administering the Sustainable Development Technology Fund and the NextGen Biofuels Fund.</p>","<p>Agir comme le principal catalyseur en vue de la construction de l'infrastructure technologique du d&#233;veloppement durable au Canada en exploitant le fonds Technologies du d&#233;veloppement durable et le fonds de biocarburants ProGen.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Foundation for Sustainable Development Technology Act</em>, S.C. 2001, c. 23</p>","<p><em>Loi sur la Fondation du Canada pour l&#8217;appui technologique au d&#233;veloppement durable</em>, L.C. 2001, ch. 23</p>","www.sdtc.ca","www.sdtc.ca"
,,,"Canada Games Council","NULL","Canada Games Council","Conseil des Jeux du Canada","Canadian Heritage and Official Languages","Patrimoine canadien et Langues officielles","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Sue Hylland, President and Chief Executive Officer","Sue Hylland, présidente-directrice générale","<p>To provide a major national multi-sport event for the best young athletes in all provinces and territories.</p>","<p>Assurer l&#8217;organisation d&#8217;une grande manifestation sportive nationale multidisciplinaire &#224; l&#8217;intention des meilleurs jeunes athl&#232;tes de toutes les provinces et de tous les territoires.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.canadagames.ca","www.canadagames.ca"
,,,"Canada Health Infoway Inc.","NULL","Canada Health Infoway Inc.","Inforoute Santé du Canada Inc.","Health","Santé","Aglukkaq, Leona (Hon.)","Minister of Health","NULL","NULL","NULL","NULL","Aglukkaq, Leona (L'hon.)","ministre de la Santé","NULL","NULL","NULL","NULL","Richard C. Alvarez, President and Chief Executive Officer","Richard C. Alvarez, président et chef de la direction","<p>As a not-for-profit organization funded by the federal government, Infoway works with the jurisdictions to foster and accelerate the development and adoption of electronic health information systems with compatible standards on a pan-Canadian basis.</p>","<p>En tant qu'organisation &#224; but non lucratif, financ&#233;e par le gouvernement f&#233;d&#233;ral, Inforoute collabore avec les administrations publiques pour promouvoir et acc&#233;l&#233;rer le d&#233;veloppement et l'adoption de l'information de sant&#233; &#233;lectronique avec des normes compatibles sur une base pan-canadienne.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em> R.S.C 1970 c C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch C32</p>","www.infoway-inforoute.ca","www.infoway-inforoute.ca"
,,,"Canada Lands Company Limited","NULL","Canada Lands Company Limited","Société immobilière du Canada limitée","Public Works and Government Services","Travaux publics et Services gouvernementaux","Ambrose, Rona (Hon.)","Minister of Public Works and Government Services","NULL","NULL","NULL","NULL","Ambrose, Rona (L'hon.)","ministre des Travaux publics et des Services gouvernementaux","NULL","NULL","NULL","NULL","Robert Howald, Acting President and Chief Executive Officer","Robert Howald, président et premier dirigeant par interim","<p>Through its subsidiaries, to ensure the commercially oriented, orderly disposition of selected surplus federal real properties with optimal value to the Canadian taxpayer and the holding of certain properties.</p> <br />","<p>&#160;Par l'entremise de ses filiales, veiller a la cession ordonn&#233;e et commercial de certains biens immobiliers strat&#233;giques f&#233;d&#233;raux en vue d'en optimiser la valeur pour les contribuables canadiens, de meme que d&#233;tenir certains biens immobiliers.</p>","Crown Corporation","Sociétés d'État","<p><em>Canada Business Corporations Act, </em>R.S.C. 1985, c. C-44</p>","<p><em>Loi canadienne sur les soci&#233;t&#233;s par actions</em>, L.R.C. 1985, ch. C-44.</p>","www.clc.ca","www.clc.ca"
,,,"Canada Media Fund","NULL","Canada Media Fund","Fonds des médias du Canada","Canadian Heritage and Official Languages","Patrimoine canadien et Langues officielles","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Valerie Creighton, President and Chief Executive Officer","Valerie Creighton, présidente et chef de la direction","<p>To champion the creation of successful, innovative Canadian content and software applications for current and emerging digital platforms through financial support and industry research.</p>","<p>Encourager la cr&#233;ation de contenus et d'applications logicielles canadiens novateurs et efficaces destin&#233;s aux plateformes num&#233;riques actuelles et &#233;mergentes, et ce, par l'entremise d'un soutien financier et d'une recherche sur l'industrie.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.cmf-fmc.ca","www.cmf-fmc.ca"
,,,"Canada Pension Plan Investment Board","NULL","Canada Pension Plan Investment Board","Office dinvestissement du régime de pensions du Canada","Finance","Finances","Flaherty, Jim (Hon.)","Minister of Finance","NULL","NULL","NULL","NULL","Flaherty, Jim (L'hon.)","ministre des Finances","NULL","NULL","NULL","NULL","Mark D. Wiseman, President and Chief Executive Officer","Mark D. Wiseman, président et premier dirigeant","<p>To assist the Canada Pension Plan in meeting its obligations to contributors and beneficiaries under the <em>Canada Pension Plan Investment Board Act.</em></p>","<p>Aider le R&#233;gime de pensions du Canada &#224; s&#8217;acquitter de ses obligations envers les cotisants et les b&#233;n&#233;ficiaires en vertu de la <em>Loi sur l&#8217;Office d&#8217;investissement du r&#233;gime de pensions du Canada.</em></p>","Crown Corporation","Sociétés d'État","<p><em>Canada Pension Plan Investment Board Act, </em>S.C. 1997, c. 40</p>","<p><em>Loi sur l&#8217;Office d&#8217;investissement du r&#233;gime de pensions du Canada</em>, L.C. 1997, ch. 40</p>","www.cppib.com","www.cppib.com/fr/"
