"Organizations","Program Activity"," Activités de Programme","Expenditures for fiscal year 2010-11","Expenditures for fiscal year 2011-12","Expenditures for fiscal year 2010-11","Expenditures for fiscal year 2011-12","Expenditures for fiscal year 2012-13"
"ACOA","Internal Services","Services internes","41,840,327","40,023,217","41,840,327","40,023,217","34,881,448"
"AECL","Atomic Energy of Canada Limited","Énergie atomique du Canada, Limitée","771,452,000","719,031,083","771,452,000","719,031,083","551,843,000"
"OAG","Legislative Auditing","Audit législatif","86,666,672","89,811,920","86,666,672","89,811,920","88,209,772"
"CBSA","Risk Assessment","Programme d'évaluation des risques","110,480,464","117,258,228","110,480,464","117,258,228","121,511,557"
"CBSA","Admissibility Determination","Détermination de l'admissibilité","244,337,805","582,713,148","244,337,805","582,713,148","586,293,558"
"CBSA","Secure and Trusted Partnerships","Partenariats sûrs et fiables","34,598,586","33,246,592","34,598,586","33,246,592","31,564,355"
"CBSA","Conventional Border Program","Programme conventionnel à la frontière","568,088,363",0,"568,088,363",0,0
"CBSA","Revenue and Trade Management","Gestion du commerce et des revenus","64,770,521","75,965,179","64,770,521","75,965,179","73,463,331"
"CBSA","Recourse ","Recours","9,396,251","12,674,105","9,396,251","12,674,105","11,118,094"
"CBSA","Criminal Investigations","Enquêtes criminelles",0,"27,184,823",0,"27,184,823","26,441,935"
"CBSA","Immigration Enforcement","Exécution de la loi relative à l'immigration",0,"150,516,396",0,"150,516,396","150,469,520"
"CBSA","Internal Services","Services internes","663,880,130","835,738,480","663,880,130","835,738,480","706,493,658"
"CC","Canada Council for the Arts","Conseil des Arts du Canada","181,637,816","181,417,816","181,637,816","181,417,816","181,367,816"
"CIRB","Adjudicative and Dispute Resolution Program","Programme juridictionnel et de résolution de conflits","9,468,174","9,841,296","9,468,174","9,841,296","9,103,648"
"CIRB","Internal Services","Services internes","3,819,225","3,857,628","3,819,225","3,857,628","3,682,468"
"CMHC","Assisted Housing Programs","Programmes d'aide au logement","1,564,180,422","1,562,950,062","1,564,180,422","1,562,950,062","1,591,051,620"
"CMHC","Canadian Housing Market Research and Analysis","Recherches et analyses sur les marchés de l'habitation au Canada","18,438,817","15,012,894","18,438,817","15,012,894","18,036,004"
"CMHC","Emergency Planning","Planification d'urgence","473,408","431,297","473,408","431,297","424,389"
"CMHC","Housing Repair and Improvement Programs","Programmes de réparation et d'amélioration des habitations","643,867,327","48,065,585","643,867,327","48,065,585","33,187,194"
"CMHC","International Activities","Activités internationales","12,761,505","15,159,273","12,761,505","15,159,273","6,186,450"
"CMHC","Research and information dissemination to promote desirable housing market outcomes and improve building performance","Diffusion de recherches et d'information visant à promouvoir des effets souhaitables sur le marché de l'habitation et à améliorer la performance des bâtiments","12,781,226","16,380,931","12,781,226","16,380,931",0
"CMHC","Research and information dissemination that addresses distinct housing needs, including those of Aboriginal people","Activités de recherche et de diffusion de l'information qui portent sur les besoins particuliers en matière de logement, notamment ceux des peuples autochtones","5,565,957","6,659,598","5,565,957","6,659,598",0
"CMHC","Policy, Research and Information Transfer","Politiques, recherche et diffusion de l’information","11,968,743","12,772,329","11,968,743","12,772,329","30,522,299"
"CMHC","OnReserve Housing Programs","Programmes de logement dans les réserves","216,620,353","151,159,829","216,620,353","151,159,829","158,170,186"
"CMHC","Affordable Housing Initiative","Initiative en matière de logement abordable","476,778,228","219,666,790","476,778,228","219,666,790","248,819,812"
"CPC","Canada Post Corporation","Société canadienne des postes","22,210,000","22,210,000","22,210,000","22,210,000","22,210,000"
"CCRA","Appeals","Appels","164,065,699","175,063,571","164,065,699","175,063,571","192,046,153"
"CCRA","Assessment of Returns and Payment Processing","Côtisations des déclarations et traitement des paiements","683,036,330","642,056,593","683,036,330","642,056,593","643,799,856"
"CCRA","Benefit Programs","Programmes de prestations","369,838,543","369,783,357","369,838,543","369,783,357","383,719,460"
"CCRA","Taxpayer and Business Assistance","Aide aux contribuables et aux entreprises","551,883,045","530,542,287","551,883,045","530,542,287","453,280,238"
"CCRA","Accounts Receivable and Returns Compliance","Comptes débiteurs et Observation en matière de production des déclarations","511,566,990","521,505,104","511,566,990","521,505,104","512,217,726"
"CCRA","Reporting Compliance","Observation en matière de déclaration","1,071,359,473","1,055,758,459","1,071,359,473","1,055,758,459","1,170,473,553"
"CCRA","Taxpayers' Ombudsman","Ombudsman des contribuables","2,729,931","2,730,896","2,729,931","2,730,896","2,622,557"
"CCRA","Internal Services","Services internes","1,064,085,994","1,053,851,358","1,064,085,994","1,053,851,358","960,308,600"
"CCMD","Foundational Learning","Apprentissage de base","72,488,136","74,698,736","72,488,136","74,698,736","48,891,757"
"CCMD","Organizational Leadership Development","Perfectionnement en leadership organisationnel","17,993,197","12,713,243","17,993,197","12,713,243","8,482,245"
"CCMD","Public Sector Management Innovation","Innovation dans la gestion du secteur public","10,467,758","8,442,790","10,467,758","8,442,790","9,499,142"
"CCMD","Internal Services","Services internes","27,685,170","30,086,057","27,685,170","30,086,057","30,392,083"
"CATSA","Canadian Air Transport Security Authority","Administration canadienne de la sûreté du transport aérien","573,146,000","515,006,000","573,146,000","515,006,000","513,369,000"
"APPRT","Certification, Complaints and Determination Program","Programme d'accréditation, de plaintes et de décision","800,944","780,407","800,944","780,407","686,970"
"APPRT","Internal Services","Services internes","399,183","502,785","399,183","502,785","826,420"
"CBC","Canadian Broadcasting Corporation","Société Radio-Canada","1,137,145,060","1,134,319,060","1,137,145,060","1,134,319,060","1,106,519,060"
"CCOHS","Occupational Health and Safety Information Development, Delivery Services and Tripartite Collaboration","Élaboration de l'information sur la santé et la sécurité au travail, prestations de services et collaboration tripartite","2,816,053","2,599,629","2,816,053","2,599,629","3,006,921"
"CCOHS","Internal Services","Services internes","2,621,753","2,690,695","2,621,753","2,690,695","2,450,394"
"CCC","Canadian Commercial Corporation","Corporation commerciale canadienne","15,481,541","15,481,540","15,481,541","15,481,540","15,481,540"
"CDC","Administer Milk Supply Management System","Administre le système de gestion des approvisionnements du lait","4,147,084","4,479,524","4,147,084","4,479,524","4,086,096"
"CEAA","Environmental Assessment Delivery Program","Programme de soutien à l'évaluation environnementale","15,263,585","15,332,906","15,263,585","15,332,906","15,029,356"
"CEAA","Environmental Assessment Development Program","Programme d'élaboration de l'évaluation environnementale","3,764,650","3,524,556","3,764,650","3,524,556","3,045,780"
"CEAA","Internal Services","Services internes","10,005,894","10,701,027","10,005,894","10,701,027","9,873,689"
"CFIA","Plant Health Risks and Production Systems","Risques liés à la protection des végétaux et systèmes de production","68,279,665",0,"68,279,665",0,0
"CFIA","Animal Health Risks and Production Systems","Risques liés à la santé des animaux et systèmes de production","77,135,982",0,"77,135,982",0,0
"CFIA","Food Safety Program","Programme de salubrité des aliments","301,443,720","328,935,486","301,443,720","328,935,486","353,600,998"
"CFIA","Zoonotic Risk","Risques liés aux zoonoses","62,131,250",0,"62,131,250",0,0
"CFIA","Domestic and International Market Access","Accès aux marchés nationaux et internationaux","34,485,898",0,"34,485,898",0,0
"CFIA","Animal Health and Zoonotics Program","Programme de santé des animaux et de prévention des zoonoses",0,"140,272,363",0,"140,272,363","175,425,417"
"CFIA","Plant Resources Program","Programme de protection des végétaux",0,"83,964,960",0,"83,964,960","88,983,164"
"CFIA","Biodiversity Protection","Protection de la biodiversité","10,776,383",0,"10,776,383",0,0
"CFIA","Integrated Regulatory Frameworks","Cadre de réglementation intégré","6,843,657",0,"6,843,657",0,0
"CFIA","International Collaboration and Technical Agreements","Programme sur la collaboration internationale et les ententes techniques",0,"34,859,200",0,"34,859,200","33,338,750"
"CFIA","Internal Services","Services internes","160,694,065","149,664,349","160,694,065","149,664,349","130,707,396"
"CFGB","Review Canadian Forces Grievances","L'examen des griefs des membres des Forces canadiennes","2,278,647","4,000,698","2,278,647","4,000,698","3,847,015"
"CFGB","Internal Services","Services internes","3,247,754","2,396,313","3,247,754","2,396,313","2,003,221"
"CGC","Grain Quality Research Program","Programme de recherches sur la qualité des grains","10,074,914","10,214,676","10,074,914","10,214,676","11,055,383"
"CGC","Producer Protection Program","Programme de protection des producteurs","2,604,914","3,317,220","2,604,914","3,317,220","3,380,408"
"CGC","Quantity Assurance Program","Programme d'assurance-quantité",0,"930,361",0,"930,361","-331,197"
"CGC","Quality Assurance Program","Programme d'assurance-qualité","5,935,320","7,676,926","5,935,320","7,676,926","7,979,898"
"CGC","Internal Services","Services internes","13,156,085","13,720,678","13,156,085","13,720,678","15,049,754"
"CGC","Quality Assurance Program  Revolving Fund","Programme d'assurance-qualité - Fonds renouvelable","1,669,328","45,828","1,669,328","45,828",0
"CGC","Quantity Assurance Program  Revolving Fund","Programme d'assurance-quantité - Fonds renouvelable",-  750 604,- 1 223 764,-  750 604,- 1 223 764,0
"CGC","Producer Protection Program  Revolving Fund","Programme de protection des producteurs - Fonds renouvelable","635,678","138,087","635,678","138,087",0
"CH","Sport","Sport","211,128,955","213,206,286","211,128,955","213,206,286","224,955,539"
"CH","Arts","Arts","114,579,617","110,408,609","114,579,617","110,408,609","117,834,528"
"CH","Cultural Industries","Industries culturelles","303,527,483","311,281,772","303,527,483","311,281,772","304,377,508"
"CH","Heritage","Patrimoine","41,396,147","40,082,114","41,396,147","40,082,114","40,005,590"
"CH","Promotion of and Attachment to Canada","Promotion et appartenance au Canada","84,450,525","78,087,318","84,450,525","78,087,318","79,587,588"
"CH","Engagement and Community Participation","Engagement et participation communautaire","88,240,794","82,267,782","88,240,794","82,267,782","47,473,128"
"CH","Official Languages","Langues officielles","354,450,748","359,492,915","354,450,748","359,492,915","359,434,835"
"CH","Internal Services","Services internes","115,857,584","113,665,106","115,857,584","113,665,106","73,758,839"
"CHRC","Discrimination Prevention Program","Programme de prévention de la discrimination","4,986,796","4,554,675","4,986,796","4,554,675","4,224,128"
"CHRC","Human Rights Dispute Resolution Program","Programme de règlement des différends en matière de droits de la personne","8,660,164","8,828,826","8,660,164","8,828,826","9,241,670"
"CHRC","Human Rights Knowledge Development and Dissemination Program","Programme de développement et de diffusion des connaissances sur les droits de la personne","3,331,403","4,313,519","3,331,403","4,313,519","4,123,976"
"CHRC","Internal Services","Services internes","6,089,067","6,565,303","6,089,067","6,565,303","6,793,402"
"CHRT","Hearings of complaints before the Tribunal","Audition de plaintes devant le Tribunal","1,783,445","1,783,912","1,783,445","1,783,912","1,971,469"
"CHRT","Internal Services","Services internes","2,653,082","3,455,882","2,653,082","3,455,882","2,248,140"
"CIHR","Health Knowledge","Connaissances dans le domaine de la santé","468,461,644","470,528,113","468,461,644","470,528,113","482,927,902"
"CIHR","Health Researchers","Chercheurs en santé","195,654,199","182,756,604","195,654,199","182,756,604","173,088,363"
"CIHR","Health Research Commercialization","Commercialisation de la recherche en santé","53,143,773","55,976,670","53,143,773","55,976,670","52,306,643"
"CIHR","Health and Health Services Advances","Avancées en santé et dans les services de santé","275,385,433","268,011,156","275,385,433","268,011,156","260,893,758"
"CIHR","Internal Services","Services internes","34,226,228","31,818,850","34,226,228","31,818,850","27,836,076"
"CICS","Conference Services","Services des conférénces","3,038,012","3,493,260","3,038,012","3,493,260","3,344,606"
"CICS","Internal Services","Services internes","2,225,297","2,067,352","2,225,297","2,067,352","1,810,874"
"CIDA","Lowincome Countries","Pays à faible revenu","893,636,071","873,386,696","893,636,071","873,386,696","786,424,294"
"CIDA","Fragile Countries and Crisisaffected Communities","Pays fragiles et collectivités touchées par les crises","953,007,134","788,201,321","953,007,134","788,201,321","602,412,281"
"CIDA","Middleincome Countries","Pays à revenu intermédiaire","319,836,135","297,083,789","319,836,135","297,083,789","279,461,152"
"CIDA","Global Engagement and Strategic Policy","Engagement à l'échelle mondiale et politique stratégique","1,106,773,885","1,578,607,670","1,106,773,885","1,578,607,670","1,370,525,021"
"CIDA","Canadian Engagement For Development","Engagement canadien pour le développement","250,643,881","282,321,595","250,643,881","282,321,595","271,384,693"
"CIDA","Internal Services","Services internes","114,818,889","107,662,476","114,818,889","107,662,476","99,349,993"
"CITT","Adjudication of Trade Cases (Quasijudicial Role)","Règlement de dossiers commerciaux (rôle quasi judiciaire)","6,881,003","6,633,211","6,881,003","6,633,211","8,395,969"
"CITT","General Economic Inquiries and References (Advisory Role)","Enquêtes et saisies sur des questions économiques de portée générale (rôle consultatif)","109,222","105,289","109,222","105,289","115,013"
"CITT","Internal Services","Services internes","3,932,001","3,790,406","3,932,001","3,790,406","2,990,345"
"CMHR","Canadian Museum for Human Rights","Musée canadien des droits de la personne","56,072,657","21,798,633","56,072,657","21,798,633","56,935,796"
"CMC","Canadian Museum of Civilization","Musée canadien des civilisations","71,218,048","65,198,130","71,218,048","65,198,130","64,364,831"
"CMI","Canadian Museum of Immigration at Pier 21","Musée canadien de l'immigration du Quai 21","4,576,085","13,824,600","4,576,085","13,824,600","9,976,473"
"CMN","Canadian Museum of Nature","Musée canadien de la nature","33,281,985","28,591,766","33,281,985","28,591,766","34,370,062"
"CNEDA","Business Development","Développement commercial","1,631,874","22,774,600","1,631,874","22,774,600","22,424,611"
"CNEDA","Community Development","Développement communautaire","46,452,676","13,984,232","46,452,676","13,984,232","20,641,500"
"CNEDA","Policy, Advocacy and Coordination","Politique, représentation et coordination","3,774,178","1,965,563","3,774,178","1,965,563","2,006,185"
"CNEDA","Internal Services","Services internes","12,401,824","9,875,295","12,401,824","9,875,295","7,316,314"
"AECB","Regulatory Framework Program","Programme du cadre de réglementation","21,308,637","23,243,106","21,308,637","23,243,106","29,682,743"
"AECB","Licensing and Certification Program","Programme d'autorisation et d'accréditation","28,238,680","33,211,190","28,238,680","33,211,190","25,304,007"
"AECB","Compliance Program","Programme de conformité","40,725,361","38,302,145","40,725,361","38,302,145","41,778,894"
"AECB","Internal Services","Services internes","45,965,913","41,312,723","45,965,913","41,312,723","42,933,510"
"CPCC","Research Facilitation and Communication","Facilitation de la recherche et communications","838,841","951,255","838,841","951,255","988,110"
"CPCC","Internal Services","Services internes","177,806","311,954","177,806","311,954","329,625"
"CRTC","Canadian Telecommunications","Télécommunications canadiennes","6,648,385","9,348,570","6,648,385","9,348,570","7,606,154"
"CRTC","Canadian Broadcasting","Radiodiffusion canadienne","4,508,753","5,665,694","4,508,753","5,665,694","3,283,869"
"CRTC","Internal Services","Services internes","364,305","668,685","364,305","668,685","3,843,738"
"CSIS","Intelligence Program","Programme de renseignement","462,476,427","491,690,996","462,476,427","491,690,996","454,883,201"
"CSIS","Security Screening Program","Programme de filtrage de sécurité","52,746,869","48,194,702","52,746,869","48,194,702","41,537,748"
"CSA","Satellite Communications (SC)","Télécommunications par satellite","16,642,365",0,"16,642,365",0,0
"CSA","Future Canadian Space Capacity","Capacités spatiales futures du Canada","7,298,717","69,563,250","7,298,717","69,563,250","52,480,907"
"CSA","Space Data, Information and Services","Données, informations et services spatiaux","96,430,063","137,297,150","96,430,063","137,297,150","130,830,203"
"CSA","Space Exploration","Exploration spatiale","156,812,661","146,317,119","156,812,661","146,317,119","87,496,584"
"CSA","Generic Space Activities in support of Earth Observation (EO), Space Science and Exploration (SE) and Satellite Communications (SC)","Activités liées à la technologie de nature générique en appui à l'Observation de la Terre, aux Sciences et exploration spatiales et aux Télécommunications par satellites","45,030,648",0,"45,030,648",0,0
"CSA","Internal Services","Services internes","50,621,356","55,957,995","50,621,356","55,957,995","49,437,721"
"TOUR","Canadian Tourism Commission","Commission Canadienne du Tourisme","108,564,688","82,033,975","108,564,688","82,033,975","71,495,802"
"CTAIB","Air Investigations","Enquêtes aéronautiques","14,311,208","14,441,903","14,311,208","14,441,903","13,670,313"
"CTAIB","Marine Investigations","Enquêtes maritimes","4,473,606","4,619,751","4,473,606","4,619,751","5,831,259"
"CTAIB","Pipeline Investigations","Enquêtes de pipeline","488,656","525,154","488,656","525,154","457,077"
"CTAIB","Rail Investigations","Enquêtes ferroviaires","4,597,594","5,105,686","4,597,594","5,105,686","4,703,146"
"CTAIB","Internal Services","Services internes","6,826,509","7,101,289","6,826,509","7,101,289","6,994,482"
"CTA","Economic Regulation","Réglementation économique","12,521,120","12,918,028","12,521,120","12,918,028","12,878,593"
"CTA","Adjudication and Alternative Dispute Resolution","Arbitrage et règlement extrajudiciaire des différends","8,079,608","8,190,454","8,079,608","8,190,454","8,337,217"
"CTA","Internal Services","Services internes","8,188,894","8,199,204","8,188,894","8,199,204","7,485,034"
"CEO","Elections","Élections","99,808,803",0,"99,808,803",0,0
"CEO","Electoral Operations","Opérations électorales",0,"202,833,122",0,"202,833,122","37,009,414"
"CEO","Regulation of Electoral Activities","Régulation des activités électorales",0,"102,957,957",0,"102,957,957","37,509,163"
"CEO","Electoral Engagement","Engagement électoral",0,"7,892,605",0,"7,892,605","7,860,678"
"CEO","Internal Services","Services internes","47,208,834","35,668,310","47,208,834","35,668,310","37,200,938"
"CI","Canada's Role in International Migration and Protection","Rôle du Canada dans la gestion des migrations internationales et la protection","3,264,367",0,"3,264,367",0,0
"CI","Citizenship Program","Programme de citoyenneté","68,788,619",0,"68,788,619",0,0
"CI","Immigration Program","Programme d'immigration","142,976,086",0,"142,976,086",0,0
"CI","Integration Program","Programme d'intégration","975,753,001",0,"975,753,001",0,0
"CI","Refugee Program","Programme des réfugiés","112,665,007",0,"112,665,007",0,0
"CI","Temporary Resident Program","Musée canadien de la nature","61,314,611",0,"61,314,611",0,0
"CI","Family and Discretionary Immigration","Immigration pour motifs familiaux et discrétionnaires",0,"45,110,237",0,"45,110,237","48,674,101"
"CI","Multiculturalism for Newcomers and all Canadians","Multiculturalisme pour les nouveaux arrivants et tous les Canadiens",0,"21,051,465",0,"21,051,465","15,120,234"
"CI","Health Management","Gestion de la santé",0,"92,337,565",0,"92,337,565","59,616,808"
"CI","Migration Control and Security Management","Contrôle des mouvements migratoires et gestion de la sécurité",0,"66,771,311",0,"66,771,311","76,410,491"
"CI","Internal Services","Services internes","225,306,552","246,086,861","225,306,552","246,086,861","231,778,110"
"CI","Permanent Economic Residents","Résidents permanents profitables à l'économie",0,"36,541,121",0,"36,541,121","40,200,532"
"CI","Temporary Economic Residents","Résidents temporaires profitables à l'économie",0,"23,659,011",0,"23,659,011","20,617,661"
"CI","Refugee Protection","Protection des réfugiés",0,"33,433,740",0,"33,433,740","30,301,402"
"CI","Settlement and Integration of Newcomers","Établissement et intégration des nouveaux arrivants",0,"966,045,346",0,"966,045,346","950,739,681"
"CI","Citizenship for Newcomers and all Canadians","Citoyenneté pour les nouveaux arrivants et tous les Canadiens",0,"49,352,898",0,"49,352,898","46,583,524"
"CI","Canadian Influence in International Migration and Integration Agenda","Influence du Canada sur les orientations internationales liées aux mouvements migratoires et à l'intégration",0,"3,101,193",0,"3,101,193","3,282,924"
"FJA","Canadian Judicial Council","Conseil canadien de la magistrature","1,673,494","1,920,925","1,673,494","1,920,925","1,657,597"
"FJA","Federal Judicial Affairs","Magistrature fédérale","7,873,984","8,584,690","7,873,984","8,584,690","8,352,983"
"FJA","Payments pursuant to the Judges Act","Paiements en application de la Loi sur les juges","443,169,201","459,802,737","443,169,201","459,802,737","474,217,220"
"FJA","Internal Services","Services internes","869,700","874,800","869,700","874,800","874,800"
"CSEC","Situational Awareness","Connaissance de la situation",0,"251,856,580",0,"251,856,580",0
"CSEC","Signals intelligence","Renseignment électromagnétique",0,0,0,0,"287,898,173"
"CSEC","IT Security","Sécurité des TI",0,0,0,0,"126,596,384"
"CB","Copyright Tariff Setting and Issuance of Licences","Établissement de tarifs et octroi de licences liés au droit d'auteur","2,090,787","2,058,431","2,090,787","2,058,431","2,032,278"
"CB","Internal Services","Services internes","475,155","482,842","475,155","482,842","476,707"
"CSC","Custody","Garde","1,478,534,596","1,650,039,924","1,478,534,596","1,650,039,924","1,739,638,255"
"CSC","Correctional Interventions","Interventions correctionnelles","410,062,345","515,421,682","410,062,345","515,421,682","457,038,705"
"CSC","Community Supervision","Surveillance dans la collectivité","102,654,495","112,408,779","102,654,495","112,408,779","117,648,594"
"CSC","Internal Services","Services internes","383,757,772","388,983,721","383,757,772","388,983,721","328,673,657"
"CAS","Judicial Services","Services judiciaires","19,903,805","21,576,245","19,903,805","21,576,245","21,125,246"
"CAS","Registry Services","Services du greffe","25,820,255","29,146,563","25,820,255","29,146,563","25,400,192"
"CAS","Internal Services","Services internes","17,919,572","22,499,605","17,919,572","22,499,605","19,058,769"
"FORDQ","Community Development","Développement des collectivités","136,938,711","130,267,052","136,938,711","130,267,052",0
"FORDQ","Infrastructure","Application de la législation sur la concurrence","79,161,482","16,658,636","79,161,482","16,658,636",0
"FORDQ","Special intervention measures","Mesures spéciales d'intervention","108,510,683",0,"108,510,683",0,0
"FORDQ","Policies, programs and initiatives","Politiques, programmes et initiatives","5,712,284","5,914,243","5,712,284","5,914,243",0
"FORDQ","Enterprise Competitiveness","Compétitivité des entreprises","86,374,906","87,826,794","86,374,906","87,826,794",0
"FORDQ","Competitive positioning of sectors and regions","Positionnement concurrentiel des secteurs et des régions","39,413,210","42,245,215","39,413,210","42,245,215",0
"FORDQ","Business Development","Développement des entreprises",0,0,0,0,"130,483,270"
"FORDQ","Regional Economic Development","Développement économique des régions",0,0,0,0,"44,054,296"
"FORDQ","Strengthening Community Economies","Renforcement de l'économie des collectivités",0,0,0,0,"102,808,455"
"FORDQ","Internal Services","Services internes","23,894,782","23,008,956","23,894,782","23,008,956","19,083,325"
"ECBC","Enterprise Cape Breton Corporation","Société d'expansion du Cap-Breton","83,070,000","77,191,000","83,070,000","77,191,000","60,667,000"
"EC","Biodiversity - Wildlife and Habitat","Biodiversité - Espèces sauvages et habitats","129,307,124","138,780,378","129,307,124","138,780,378","124,279,701"
"EC","Water Resources","Ressources en eau","117,996,282","107,643,683","117,996,282","107,643,683","108,552,180"
"EC","Weather and Environmental Services for Canadians","Services météorologiques et environnementaux pour les Canadiens","186,827,282","172,435,665","186,827,282","172,435,665","167,695,081"
"EC","Substances and Waste Management","Gestion des substances et des déchets","103,707,167","83,291,322","103,707,167","83,291,322","79,295,781"
"EC","Mackenzie Gas Project","Projet gazier Mackenzie","1,820,858",0,"1,820,858",0,0
"EC","Weather and Environmental Services for Targeted Users","Services météorologiques et environnementaux pour les utilisateurs ciblés","23,031,992","24,057,561","23,031,992","24,057,561","23,048,758"
"EC","Sustainable Ecosystems","Écosystèmes durables","65,834,108","66,180,594","65,834,108","66,180,594","67,500,281"
"EC","Compliance Promotion and Enforcement - Pollution","Promotion de la conformité et Application de la loi - Pollution","39,946,022","43,266,981","39,946,022","43,266,981","41,707,207"
"EC","Climate Change and Clean Air","Changements climatiques et qualité de l'air","160,839,104","118,255,660","160,839,104","118,255,660","157,525,949"
"EC","Compliance Promotion and Enforcement - Wildlife","Promotion de la conformité et Application de la loi - Faune","16,891,032","17,467,430","16,891,032","17,467,430","16,695,293"
"EC","Internal Services","Services internes","242,690,443","237,096,982","242,690,443","237,096,982","203,355,231"
"EDC","Export Development Canada (Canada Account) ","Exportation et développement Canada (Compte du Canada)",0,"54,337,912",0,"54,337,912","231,192,530"
"FBCL","Federal Bridge Corporation Limited","La Société des ponts fédéraux Limitée","417,103","13,994,307","417,103","13,994,307","18,185,400"
"FEDSO","Community Economic Development","Développement économique régional et infrastructure","257,924,830","43,126,022","257,924,830","43,126,022","34,609,151"
"FEDSO","Infrastructure","Infrastructure","130,603,892",0,"130,603,892",0,0
"FEDSO","Technological Innovation","Innovation technologique",0,0,0,0,"56,576,259"
"FEDSO","Business and Innovation Development","Développement des entreprises",0,"169,527,986",0,"169,527,986","131,523,159"
"FEDSO","Internal Services","Services internes","17,074,192","15,107,942","17,074,192","15,107,942","19,012,398"
"FEDSO","Policy, Advocacy and Coordination","Politique, revendication et coordination",0,"2,697,859",0,"2,697,859",0
"FIN","Economic and Fiscal Policy Framework","Cadre des politiques économiques et fiscales","-33,248,041","93,032,942","-33,248,041","93,032,942","81,328,189"
"FIN","Treasury and Financial Affairs","Trésorerie et affaires financières","28,122,927,601","28,016,246,650","28,122,927,601","28,016,246,650","26,148,248,975"
"FIN","Transfer and Taxation Payment Programs","Programme de paiements de transfert et de taxation","55,621,792,185","55,976,735,366","55,621,792,185","55,976,735,366","57,360,555,306"
"FIN","Internal Services","Services internes","50,497,328","55,915,041","50,497,328","55,915,041","50,468,976"
"FCAC","Financial Consumer Agency of Canada","Agence de consommation en matière financière du Canada","11,629,300","12,281,998","11,629,300","12,281,998","12,890,555"
"FTRAC","Detection and deterrence of money laundering and terrorist financing","Détection et dissuasion du blanchiment d'argent et du financement des activités terroristes","42,080,349","50,638,456","42,080,349","50,638,456",0
"FTRAC","Financial Intelligence Program","Programme du renseignement financier",0,0,0,0,"22,673,503"
"FTRAC","Compliance Program","Programme de conformité",0,0,0,0,"23,068,382"
"FTRAC","Internal Services","Services internes","8,847,599","8,589,625","8,847,599","8,589,625","8,251,686"
"FNSI","First Nations Statistical Institute","Institut de la statistique des Premières nations","2,615,000","3,957,000","2,615,000","3,957,000","2,028,410"
"FO","Canadian Coast Guard","Garde côtière canadienne","742,802,070",0,"742,802,070",0,0
"FO","Fisheries Management","Gestion des pêches et de l'aquaculture","356,227,970",0,"356,227,970",0,0
"FO","Habitat Management","Gestion de l'habitat","53,000,548","61,606,990","53,000,548","61,606,990","59,662,859"
"FO","Oceans Management","Gestion des Océans","14,582,279",0,"14,582,279",0,0
"FO","Science (Healthy and Productive Aquatic Ecosystem)","La science au service des écosystèmes aquatiques sains et productifs","53,448,745",0,"53,448,745",0,0
