"Organisations","Vote*","Votestattype","Description","Description","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2012-13","Authority used in 2012-13"
"AGR","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","81,829,460","81,829,460","80,766,056","80,766,056","81,829,460","81,829,460","80,766,056","80,766,056","80,857,224","80,857,224"
"AGR","(S)",999,"Paiements relatifs à la Loi sur la protection du revenu agricole - Programmes d'assurance-récolte","Payments in connection with the Farm Income Protection Act—Crop Insurance Program",0,0,"-35,769","-35,769",0,0,"-35,769","-35,769",0,0
"AGR","(S)",999,"Paiements relatifs à la Loi sur la protection du revenu agricole - Compte de stabilisation du revenu net (CSRN)","Payments in connection with the Farm Income Protection Act—Net Income Stabilization Account (NISA)",0,0,"-100,533","-100,533",0,0,"-100,533","-100,533",0,0
"AGR","(S)",999,"Contributions à la transition aux programmes futurs de gestion des risques","Contributions to a transition to future risk management programming","-12,630","-12,630","-44,664","-44,664","-12,630","-12,630","-44,664","-44,664",0,0
"AGR","(S)",999,"Paiements de subventions pour le programme de démarrage d'Agri-investissement","Grant payments for the AgriInvest Kickstart program","-68,645","-68,645","-141,473","-141,473","-68,645","-68,645","-141,473","-141,473","-8,766","-8,766"
"AGR","(S)",999,"Paiements de contributions pour le programme de démarrage d'Agri-investissement","Contribution payments for the AgriInvest Kickstart program","-2,750,759","-2,750,759","-395,935","-395,935","-2,750,759","-2,750,759","-395,935","-395,935","-118,030","-118,030"
"AGR","(S)",999,"Paiements de subventions pour le programme Agri-investissement","Grant payments for the AgriInvest program","167,403,296","167,403,296","224,158,458","224,158,458","167,403,296","167,403,296","224,158,458","224,158,458","192,215,825","192,215,825"
"AGR","(S)",999,"Paiements de contributions pour le programme Agri-investissement","Contribution payments for the AgriInvest program","29,238,998","29,238,998","24,270,703","24,270,703","29,238,998","29,238,998","24,270,703","24,270,703","28,625,258","28,625,258"
"AGR","(S)",999,"Paiements relatifs à la  Loi sur les programmes de commercialisation agricole  (L.C. (1997), ch. C-34)","Payments in connection with the  Agricultural Marketing Programs Act  (S.C., 1997, c. C-34)","33,997,707","33,997,707","44,949,155","44,949,155","33,997,707","33,997,707","44,949,155","44,949,155","62,606,580","62,606,580"
"AGR","(S)",999,"Paiements de subvention par catégorie pour le programme d'aide transitoire à l'industrie","Class grant payments for the Transitional Industry Support program","-31,441","-31,441","-63,445","-63,445","-31,441","-31,441","-63,445","-63,445","-47,902","-47,902"
"AGR","(S)",999,"Paiement de contributions par catégorie pour le programme d'aide transitoire à l'industrie","Class contribution payments for the Transitional industry support program","-2,452","-2,452","-48,088","-48,088","-2,452","-2,452","-48,088","-48,088",0,0
"AGR","(S)",999,"Paiements de contributions par catégorie pour le repositionnement de l'industrie canadienne du bovin de boucherie","Class contribution payments for repositioning of the canadian beef and cattle industry",0,0,"-466,711","-466,711",0,0,"-466,711","-466,711",0,0
"AGR","(S)",999,"Subventions aux offices établis conformément à la  Loi sur les offices des produits agricoles  (L.R.C. (1985), ch. F-4)","Grants to agencies established under the  Farm Products Agencies Act  (R.S.C., 1985, c. F-4)","600,000",0,"600,000",0,"600,000",0,"600,000",0,"600,000",0
"AGR","(S)",999,"Prêts garantis en vertu de la  Loi canadienne sur les prêts agricoles","Loan guarantees under the  Canadian Agricultural Loans Act","232,470","232,470","141,041","141,041","232,470","232,470","141,041","141,041","204,107","204,107"
"AGR","(S)",999,"Paiements de contributions par catégorie pour le Programme de revenu agricole","Class contribution payments for the Farm income program","-11,332","-11,332","-50,382","-50,382","-11,332","-11,332","-50,382","-50,382",0,0
"AGR","(S)",999,"Paiements de subvention par catégorie pour le programme de revenu agricole","Class grant payments for the Farm Income program","-22,178","-22,178","-80,733","-80,733","-22,178","-22,178","-80,733","-80,733","-15,213","-15,213"
"AGR","(S)",999,"Fonds pour l'avenir de la Canadian Cattlemen's Association","Canadian Cattlemen's Association Legacy Fund","8,435,258","8,435,258","4,893,823","4,893,823","8,435,258","8,435,258","4,893,823","4,893,823","500,000","500,000"
"AGR","(S)",999,"Paiements de contributions pour le programme Agri-protection","Contribution payments for the AgriInsurance program","514,918,800","514,918,800","571,643,883","571,643,883","514,918,800","514,918,800","571,643,883","571,643,883","677,986,995","677,986,995"
"AGR","(S)",999,"Paiements de subventions pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks","Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","-1,520,071","-1,520,071","-1,732,956","-1,732,956","-1,520,071","-1,520,071","-1,732,956","-1,732,956","-558,164","-558,164"
"AGR","(S)",999,"Paiements de contributions pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks","Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","-169,672","-169,672","-202,916","-202,916","-169,672","-169,672","-202,916","-202,916","-1,255,802","-1,255,802"
"AGR","(S)",999,"Contributions à l'appui du programme de paiements relatifs aux céréales et oléagineux","Contributions in support of the Grain and Oilseed Payment program","-8,119","-8,119",0,0,"-8,119","-8,119",0,0,"-14,751","-14,751"
"AGR","(S)",999,"Subventions à l'appui du programme de paiements relatifs aux céréales et oléagineux","Grants in support of the Grain and Oilseed Payment program","-129,908","-129,908","-33,725","-33,725","-129,908","-129,908","-33,725","-33,725","-20,871","-20,871"
"AGR","(S)",999,"Contributions à l'appui des programmes de gestion des risques de l'entreprise en vertu du Cadre stratégique pour l'agriculture - Programmes provinciaux","Contributions in support of Business Risk Management programs under the Agricultural Policy Framework - Province-Based programs",0,0,"-531,392","-531,392",0,0,"-531,392","-531,392","-8,500","-8,500"
"AGR","(S)",999,"Contributions à l'appui des programmes de gestion des risques de l'entreprise en vertu du Cadre stratégique pour l'agriculture - Projets de politiques agricoles","Contributions in support of Business Risk Management Programs under the Agricultural Policy Framework—Agriculture Policy Initiatives",0,0,"-321,817","-321,817",0,0,"-321,817","-321,817",0,0
"AGR","(S)",999,"Subventions à l'appui de l'Indemnité pour coûts de production","Grants in support of the Cost of Production Benefit","-187,601","-187,601","-5,784","-5,784","-187,601","-187,601","-5,784","-5,784","-53,570","-53,570"
"AGR","(S)",999,"Paiements de contributions pour le programme d'aide en cas de catastrophe agricole  Agri-relance","Contribution payments for the Agricultural Disaster Relief program/AgriRecovery","256,164,031","256,164,031","230,881,403","230,881,403","256,164,031","256,164,031","230,881,403","230,881,403","13,636,085","13,636,085"
"AGR","(S)",999,"Paiements de subventions pour le programme d'aide en cas de catastrophe agricole  Agri-relance","Grant payments for the Agricultural Disaster Relief program/AgriRecovery",0,0,0,0,0,0,0,0,"100,000","100,000"
"AGR","(S)",999,"Paiements de contributions pour le programme Agri-stabilité","Contribution payments for the AgriStability program","332,045,069","332,045,069","160,083,297","160,083,297","332,045,069","332,045,069","160,083,297","160,083,297","354,579,880","354,579,880"
"AGR","(S)",999,"Paiements de subventions pour le programme Agri-stabilité","Grant payments for the AgriStability program","39,497,611","39,497,611","129,254,806","129,254,806","39,497,611","39,497,611","129,254,806","129,254,806","64,045,303","64,045,303"
"AGR","(S)",999,"Contributions à l'appui de l'Initiative d'aide à l'industrie porcine","Contributions in support of the Assistance to the Pork Industry Initiative","35,961,951","35,961,951",0,0,"35,961,951","35,961,951",0,0,0,0
"AGR","(S)",999,"Fonds renouvelable de l'Agence canadienne du pari mutuel","Canadian Pari-Mutuel Agency Revolving Fund","4,242,156","822,757","3,922,399","-253,649","4,242,156","822,757","3,922,399","-253,649","4,125,793","-1,240,186"
"AHRAC","15",1,"Dépenses du programme","Program expenditures","10,438,838","4,764,036","10,422,425","3,212,347","10,438,838","4,764,036","10,422,425","3,212,347","9,249,678","1,358,235"
"AHRAC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","411,751","411,751","251,491","251,491","411,751","411,751","251,491","251,491","125,307","125,307"
"ACOA","1",1,"Dépenses de fonctionnement","Operating expenditures","90,084,009","84,601,364","88,981,325","83,574,012","90,084,009","84,601,364","88,981,325","83,574,012","82,386,685","72,981,202"
"ACOA","5",3,"Subventions et contributions","Grants and contributions","312,141,405","308,763,060","243,470,120","236,470,120","312,141,405","308,763,060","243,470,120","236,470,120","241,592,300","233,185,297"
"ACOA","(S)",999,"Ministre d'État (Agence de promotion économique du Canada'atlantique)(la Francophonie) Allocation pour automobile Crédits non requis pour l'exercice en cours","Minister of State (Atlantic Canada Opportunities Agency) (La Francophonie) Motor car allowance Appropriations not required for the current year",0,0,"1,500","1,500",0,0,"1,500","1,500","2,000","2,000"
"ACOA","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",0,0,"54,185","54,185",0,0,"54,185","54,185",84,84
"ACOA","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","24,844","22,505","37,830","14,151","24,844","22,505","37,830","14,151","42,992","23,136"
"ACOA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","10,009,125","10,009,125","10,339,813","10,339,813","10,009,125","10,009,125","10,339,813","10,339,813","9,470,228","9,470,228"
"ACOA","(S)",999,"Fonds d'adaptation des collectivités","Community Adjustment Fund","5,062,903","5,062,903",0,0,"5,062,903","5,062,903",0,0,0,0
"AECL","15",1,"Dépenses de fonctionnement et en capital","Operating and capital expenditures","771,452,000","771,452,000","617,143,001","537,031,083","771,452,000","771,452,000","617,143,001","537,031,083","345,308,000","341,243,000"
"AECL","(S)",999,"Conformément à l'article 2146 de la  Loi sur  l'emploi et la croissance , pour la dissolution d'Énergie atomique du Canada limitée","Pursuant to section 2146 of the  Job and  Economic Growth Act , for the divestiture of Atomic Energy of Canada Limited",0,0,"182,000,000","182,000,000",0,0,"182,000,000","182,000,000","210,600,000","210,600,000"
"OAG","20",1,"Dépenses du programme","Program expenditures","78,780,804","76,588,907","84,590,315","79,266,383","78,780,804","76,588,907","84,590,315","79,266,383","83,730,701","78,095,897"
"OAG","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","1,071","1,071","1,886","1,886","1,071","1,071","1,886","1,886","2,445","2,445"
"OAG","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","10,076,695","10,076,695","10,543,651","10,543,651","10,076,695","10,076,695","10,543,651","10,543,651","10,111,430","10,111,430"
"CBSA","10",1,"Dépenses de fonctionnement","Operating expenditures","1,515,563,535","1,453,495,095","1,677,761,089","1,521,118,147","1,515,563,535","1,453,495,095","1,677,761,089","1,521,118,147","1,702,510,550","1,440,742,689"
"CBSA","15",2,"Dépenses en capital","Capital expenditures","181,238,519","59,772,455","239,192,416","122,748,593","181,238,519","59,772,455","239,192,416","122,748,593","197,232,134","78,903,178"
"CBSA","(S)",999,"Montants adjugés par une cour","Court Awards",0,0,0,0,0,0,0,0,"1,750","1,750"
"CBSA","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","33,711","33,711","91,544","91,544","33,711","33,711","91,544","91,544","188,612","188,612"
"CBSA","(S)",999,"Honoraires  Agence de recouvrement","Collection agency fees",190,190,0,0,190,190,0,0,0,0
"CBSA","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","393,008","251,599","354,586","186,724","393,008","251,599","354,586","186,724","538,541","368,865"
"CBSA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","181,999,068","181,999,068","191,151,942","191,151,942","181,999,068","181,999,068","191,151,942","191,151,942","187,150,914","187,150,914"
"CC","10",5,"Paiements au Conseil des Arts du Canada","Payments to the Canada Council for the Arts","181,823,785","181,637,816","181,917,817","181,417,816","181,823,785","181,637,816","181,917,817","181,417,816","181,367,817","181,367,816"
"CIRB","10",1,"Dépenses du programme","Program expenditures","12,110,977","11,711,580","13,053,388","12,212,298","12,110,977","11,711,580","13,053,388","12,212,298","12,233,687","11,335,040"
"CIRB","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",891,0,919,0,891,0,919,0,28,0
"CIRB","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","1,575,819","1,575,819","1,486,626","1,486,626","1,575,819","1,575,819","1,486,626","1,486,626","1,451,076","1,451,076"
"CMHC","15",5,"Rembourser à la Société canadienne d'hypothèques et de logement les remises accordées sur les prêts consentis, les subventions et contributions versées et les dépenses contractées, ainsi que les pertes subies et les frais et débours engagés en vertu des dispositions de la Loi nationale sur l'habitation ou à l'égard des pouvoirs que la Société exerce ou des tâches et des fonctions qu'elle exécute, en conformité avec le pouvoir de toute loi du Parlement du Canada, autre que la Loi nationale sur l'habitation, au titre du pouvoir qui lui est conféré  par la loi sur la Société canadienne  d'hypothèque et de logement","To reimburse the Canada Mortgage and Housing Corporation for the amounts of loans forgiven, grants, contributions and expenditures made, and losses, costs and expenses incurred under the provisions of the National Housing Act or in respect of the exercise of powers or the carrying out of duties or functions conferred on the Corporation pursuant to the authority of any Act of Parliament of Canada other than the National Housing Act, in accordance with the Corporation's authority under the Canada Mortgage and Housing Corporation Act","2,993,841,000","2,825,040,810","2,161,923,000","2,048,052,949","2,993,841,000","2,825,040,810","2,161,923,000","2,048,052,949","2,139,812,000","2,086,397,954"
"CMHC","(S)",999,"Logements des Premières nations","First Nations housing","63,395,174","63,395,174","205,640","205,640","63,395,174","63,395,174","205,640","205,640",0,0
"CMHC","(S)",999,"Rénovation et amélioration des logements sociaux","Renovation and retrofit of social housing","75,000,000","75,000,000",0,0,"75,000,000","75,000,000",0,0,0,0
"CPC","15",5,"Paiements à la Société canadienne des postes à des fins spéciales","Payments to the Canada Post Corporation for special purposes","22,210,000","22,210,000","22,210,000","22,210,000","22,210,000","22,210,000","22,210,000","22,210,000","22,210,000","22,210,000"
"CPC",20,9,"Conformément à l’article 28 de la Loi sur la Société canadienne des postes et à l’article 101 et au paragraphe 127 (3) de la Loi sur la gestion des finances publiques, autoriser la Société canadienne des postes à emprunter de l’argent d’autres sources que l’Etat, pour des sommes ne dépassant pas, de temps à autre, un montant principal dû de 2 500 000 000 $ et ce, en conformité avec les conditions approuvées par le ministre des Finances","In accordance with section 28 of the Canada Post Corporation Act and section 101 and subsection127(3) of the Financial Administration Act, to authorize the Canada Post Corporation to borrow otherwise than from the Crown not exceeding from time to time an aggregate outstanding amount of $2,500,000,000 in accordance with terms and conditions approved by the Minister of Finance",1,0,0,0,1,0,0,0,0,0
"CCRA","1",1,"Dépenses de fonctionnement-Pour autoriser les transferts de crédits","Operating expenditures-To authorize the transfers of appropriations","3,297,039,933","3,170,640,318","3,388,883,997","3,158,001,277","3,297,039,933","3,170,640,318","3,388,883,997","3,158,001,277","3,582,680,658","3,265,374,223"
"CCRA","5",2,"Dépenses en capital et dépenses recouvrables au titre du  Régime de pensions du  Canada  et de la  Loi sur l'assurance-emploi ","Capital expenditures and recoverable expenditures on behalf of the  Canada Pension Plan and the  Employment Insurance Act ","141,243,044","89,495,745","79,656,435","51,689,472","141,243,044","89,495,745","79,656,435","51,689,472","83,432,650","45,812,715"
"CCRA","(S)",999,"Ministre du Revenu national, ministre de l'Agence de promotion économique du Canada atlantique et ministre de la porte d'entrée de l'Atlantique  Traitement et allocation pour automobile","Minister of National Revenue, Minister of the Atlantic Canada Opportunities Agency and Minister of the Atlantic Gateway  Salary and motor car allowance","77,638","77,638","77,536","77,536","77,638","77,638","77,536","77,536","77,516","77,516"
"CCRA","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","6,772","6,772",0,0,"6,772","6,772",0,0,0,0
"CCRA","(S)",999,"Honoraires  Agence de recouvrement","Collection agency fees","2,400","2,400","3,509","3,509","2,400","2,400","3,509","3,509",0,0
"CCRA","(S)",999,"Montants adjugés par une cour -- Cour Suprême","Court awards -- Supreme Court",0,0,0,0,0,0,0,0,"51,620","51,620"
"CCRA","(S)",999,"Montants adjugés par une cour -- Cour canadienne de l'impôt","Court awards -- Tax Court","3,839,962","3,839,962","1,366,693","1,366,693","3,839,962","3,839,962","1,366,693","1,366,693","1,509,627","1,509,627"
"CCRA","(S)",999,"Pertes sur opérations de change","Losses on Foreign Exchange",0,0,"249,190","249,190",0,0,"249,190","249,190","8,045","8,045"
"CCRA","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","195,666","195,666","165,406","165,406","195,666","195,666","165,406","165,406","132,607","132,607"
"CCRA","(S)",999,"Dépense des recettes résultant de la poursuite des opérations en vertu de l'article 60 de la Loi sur l'Agence du revenu du Canada","Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Canada Revenue Agency Act","245,117,903","245,117,903","245,459,473","245,459,473","245,117,903","245,117,903","245,459,473","245,459,473","166,976,789","166,976,789"
"CCRA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","466,011,571","466,011,571","456,860,340","456,860,340","466,011,571","466,011,571","456,860,340","456,860,340","463,603,539","463,603,539"
"CCRA","(S)",999,"Versements d'allocations spéciales pour enfants (Loi sur les allocations spéciales pour enfants)","Children's special allowance payments (Children's Special Allowances Act )","222,437,960","222,437,960","223,545,787","223,545,787","222,437,960","222,437,960","223,545,787","223,545,787","238,006,700","238,006,700"
"CCRA","(S)",999,"Paiements en vertu de la Loi sur les mesures d'aide liées au coût de l'énergie","Payments under the Energy Costs Assistance Measures Act","4,746","4,746","1,496","1,496","4,746","4,746","1,496","1,496","2,000","2,000"
"CCRA","(S)",999,"Versements aux provinces en vertu de la Loi de 2006 sur les droits d'exportation de produits de bois d'oeuvre","Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006","220,735,324","220,735,324","213,871,447","213,871,447","220,735,324","220,735,324","213,871,447","213,871,447","136,912,762","136,912,762"
"CCMD","40",1,"Dépenses du programme","Program expenditures","58,408,413","51,581,225","56,799,797","50,373,377","58,408,413","51,581,225","56,799,797","50,373,377","51,793,642","45,452,288"
"CCMD","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",0,0,"525,616","525,616",0,0,"525,616","525,616",0,0
"CCMD","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","11,303","1,106","11,497","1,300","11,303","1,106","11,497","1,300","14,483",730
"CCMD","(S)",999,"Dépense des revenus conformément au paragraphe 18(2) de la Loi sur l'École de la fonction publique du Canada","Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act","82,972,623","65,087,492","91,004,028","63,251,672","82,972,623","65,087,492","91,004,028","63,251,672","73,395,045","42,003,650"
"CCMD","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","11,964,438","11,964,438","11,788,861","11,788,861","11,964,438","11,964,438","11,788,861","11,788,861","9,808,559","9,808,559"
"CATSA","20",5,"Paiements à l'Administration canadienne de la sûreté du transport aérien pour les dépenses de fonctionnement et les dépenses en capital","Payments to the Canadian Air Transport Security Authority for operating and capital expenditures","595,055,399","573,146,000","582,727,000","515,006,000","595,055,399","573,146,000","582,727,000","515,006,000","576,397,810","513,369,000"
"APPRT","20",1,"Dépenses du programme","Program expenditures","1,988,701","1,078,919","2,023,420","1,150,256","1,988,701","1,078,919","2,023,420","1,150,256","2,064,760","1,321,541"
"APPRT","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","121,208","121,208","132,936","132,936","121,208","121,208","132,936","132,936","191,849","191,849"
"CBC","15",5,"Paiements à la Société Radio-Canada pour les dépenses de fonctionnement","Payments to the Canadian Broadcasting Corporation for operating expenditures","1,031,581,060","1,031,581,060","1,028,047,060","1,028,047,060","1,031,581,060","1,031,581,060","1,028,047,060","1,028,047,060","999,484,060","999,484,060"
"CBC","20",5,"Paiements à la Société Radio-Canada pour le fonds de roulement","Payments to the Canadian Broadcasting Corporation for working capital","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000"
"CBC","25",5,"Paiements à la Société Radio-Canada pour les dépenses en capital","Payments to the Canadian Broadcasting Corporation for capital expenditures","101,564,000","101,564,000","102,272,000","102,272,000","101,564,000","101,564,000","102,272,000","102,272,000","103,035,000","103,035,000"
"CBC",30,9,"Pour autoriser, en vertu de l’alinéa 46.1(3)(b) de laLoi sur la radiodiffusion, un passif total résultant de prêts consentis conformément aux paragraphes 46.1(1) et 46.1(2) de la Loi n’excédant pas 220 000 000 $","Pursuant to subsection 46.1(3)(b) of the Broadcasting Act, to authorize a total indebtedness in respect of borrowings under subsections 46.1(1) and 46.1(2) of the Act of an amount not to exceed $220,000,000",1,0,0,0,1,0,0,0,0,0
"CCOHS","25",1,"Dépenses du programme","Program expenditures","4,501,211","4,323,009","5,203,781","4,166,331","4,501,211","4,323,009","5,203,781","4,166,331","4,765,887","4,353,993"
"CCOHS","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","1,114,798","1,114,798","1,123,993","1,123,993","1,114,798","1,114,798","1,123,993","1,123,993","1,103,322","1,103,322"
"CCC","20",5,"Versements à la Corporation commerciale canadienne","Payment to the Canadian Commercial Corporation","15,549,962","15,481,541","15,481,540","15,481,540","15,549,962","15,481,541","15,481,540","15,481,540","15,481,540","15,481,540"
"CDC","15",1,"Dépenses du programme","Program expenditures","4,147,084","4,147,084","4,479,524","4,479,524","4,147,084","4,147,084","4,479,524","4,479,524","4,086,096","4,086,096"
"CEAA","15",1,"Dépenses du programme","Program expenditures","29,566,260","26,140,611","31,959,563","26,426,963","29,566,260","26,140,611","31,959,563","26,426,963","30,242,001","26,140,619"
"CEAA","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'Etat.","Spending of proceeds from the disposal of surplus Crown assets","1,737",0,963,0,"1,737",0,963,0,98,0
"CEAA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","2,893,518","2,893,518","3,131,526","3,131,526","2,893,518","2,893,518","3,131,526","3,131,526","1,808,206","1,808,206"
"CFIA","20",1,"Dépenses de fonctionnement et contributions","Operating expenditures and contributions","617,776,573","592,714,877","617,230,647","579,207,923","617,776,573","592,714,877","617,230,647","579,207,923","624,955,853","598,623,500"
"CFIA","25",2,"Dépenses en capital","Capital expenditures","44,971,182","41,200,610","29,208,522","13,755,212","44,971,182","41,200,610","29,208,522","13,755,212","39,465,121","31,533,159"
"CFIA","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",602,602,0,0,602,602,0,0,318,318
"CFIA","(S)",999,"Honoraires--Agence de recouvrement","Collection agency fees","1,119","1,119","2,382","2,382","1,119","1,119","2,382","2,382","5,745","5,745"
"CFIA","(S)",999,"Dépenses des recettes conformément au paragraphe 30 de la  Loi sur l'Agence canadienne d'inspection des aliments","Spending of Revenues pursuant to Section 30 of the  Canadian Food Inspection Agency Act",0,0,"58,834,871","55,851,349",0,0,"58,834,871","55,851,349","60,757,651","30,636,010"
"CFIA","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","857,595","712,821","461,653","212,539","857,595","712,821","461,653","212,539","580,936","290,219"
"CFIA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","83,570,805","83,570,805","84,443,586","84,443,586","83,570,805","83,570,805","84,443,586","84,443,586","81,891,334","81,891,334"
"CFIA","(S)",999,"Paiements d'indemnisation conformes aux exigences prévues par les règlements pris en application de la Loi sur la santé des animaux et de la Loi sur la protection des végétaux et autorisés en vertu de la Loi sur l'Agence canadienne d'inspection des aliments","Compensation payments in accordance with requirements established by regulations under the Health of Animals Act and the Plant Protection Act , and authorized pursuant to the Canadian Food Inspection Agency Act","3,589,787","3,589,787","4,223,367","4,223,367","3,589,787","3,589,787","4,223,367","4,223,367","39,075,440","39,075,440"
"CFGB","15",1,"Dépenses du programme","Program expenditures","6,482,262","4,954,831","6,840,189","5,727,601","6,482,262","4,954,831","6,840,189","5,727,601","6,438,397","5,276,211"
"CFGB","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",756,756,0,0,756,756,0,0,0,0
"CFGB","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","570,814","570,814","669,410","669,409","570,814","570,814","669,410","669,409","574,025","574,025"
