"name","acronym","type","c_ttl_avl_use_amt","crnt_yr_used_amt","c_ttl_avl_use_amt","crnt_yr_used_amt","c_ttl_avl_use_amt","crnt_yr_used_amt",,,,,,
"AGR","Contribution","Contribution","Contributions to strengthen the competitiveness of Canada's red meat packing and processing industry","Contributions pour renforcer la compétitivité du secteur canadien des abattoirs et de la transformation des viandes rouges",0,0,0,0,29641690,15310865,33696778,32498190,0,0
"AGR","Contribution","Contribution","Contributions to support the Canadian Agricultural Adaptation program","Contributions à l'appui du programme canadien d'adaptation agricole",0,0,0,0,35128491,35128491,23944645,21361000,27361000,27361000
"AGR","Contribution","Contribution","Contributions to support the Pork Marketing Up-Front Multi-Year Fund","Contributions à l'appui du Fonds pluriannuel initial de la commercialisation du porc",17000000,17000000,17000000,17000000,0,0,0,0,0,0
"AGR","Contribution","Contribution","Contributions to support the Specified Risk Material Innovation program","Contributions pour soutenir le programme d'aide à l'innovation dans le traitement des matières à risques spécifiées",0,0,0,0,9000000,3090894,19809106,16317025,13900000,4922536
"AGR","Contribution","Contribution","Contributions to transform Canada's strengths into domestic and global success","Contributions pour miser sur les forces du Canada pour réussir sur les marchés nationaux et internationaux",25705512,21480522,25705512,21480522,28033453,26312416,27673003,26534322,25916474,23491159
"AGR","Contribution","Contribution","Contributions under the Agricultural Innovation  program","Contributions dans le cadre du programme d'innovation en agriculture",0,0,0,0,0,0,7136121,570019,29472848,21353883
"AGR","Contribution","Contribution","Contributions under the Career Focus program - Youth Employment Strategy","Contributions en vertu du programme Objectif carrière de la  Stratégie emploi jeunesse",864000,455682,864000,455682,1590000,958859,864000,646313,864000,771958
"AGR","Contribution","Contribution","Contributions under the Orchards & Vineyards Transition program","Contributions au Programme de transition relatif aux vergers et vignobles",11686070,10984535,11686070,10984535,11275850,11138505,0,0,0,0
"AGR","Contribution","Contribution","Contribution to strengthen the competitiveness of Canada's red meat packing and processing industry","Contributions pour renforcer la compétitivité du secteur canadien des abattoirs et de la transformation des viandes rouges",18377534,6995188,18377534,6995188,0,0,0,0,0,0
"AGR","Contribution","Contribution","Contribution to support the Canadian Agricultural Adaptation Program","Contributions à l'appui du programme canadien d'adaptation agricole",39093471,31051833,39093471,31051833,0,0,0,0,0,0
"AGR","Grant","Subvention","Grant payments for the Canadian Wheat Board Transition Costs program","Paiements de subventions pour le programme des coûts de transition de la Commission canadienne du blé",0,0,0,0,0,0,0,0,182700000,169373315
"AGR","Grant","Subvention","Grant payments for the Churchill Port Utilisation program","Versement des subventions pour le programme d'utilisation du port de Churchill",0,0,0,0,0,0,0,0,4600000,3776404
"AGR","Grant","Subvention","Grant payments for the Cover Crop Protection Program","Subvention du Programme de cultures de couverture",0,0,0,0,0,0,0,0,0,0
"AGR","Grant","Subvention","Grant payments to the Organisation for Economic Co-operation and Development","Paiements de subventions à l'Organisation de coopération et de développement économiques",75000,75000,75000,75000,75000,75000,75000,75000,75000,75000
"AGR","Grant","Subvention","Grants to foreign recipients for participation in international organizations supporting agriculture","Subventions versées à des bénéficiaires étrangers pour leur participation auprès d'organisations internationales qui appuient l'agriculture",0,0,0,0,673000,351847,673000,654389,1273000,1136820
"AGR","Grant","Subvention","Items not required for the current year","Éléments non requis pour l'exercice en cours",0,0,0,0,0,0,0,0,0,0
"AGR","Contribution","Contribution","Items not required for the current year","Éléments non requis pour l'exercice en cours",0,0,0,0,0,0,0,0,0,0
"AGR","Grant","Subvention","Items not required for the current year","Éléments non requis pour l'exercice en cours",0,0,0,0,0,0,0,0,0,0
"AGR","Contribution","Contribution","Items not required for the current year","Éléments non requis pour l'exercice en cours",0,0,0,0,0,0,0,0,0,0
"AGR","Grant","Subvention","Items not required for the current year","Éléments non requis pour l'exercice en cours",0,0,0,0,0,0,0,0,0,0
"AGR","Contribution","Contribution","Items not required for the current year","Éléments non requis pour l'exercice en cours",0,0,0,0,0,0,0,0,0,0
"AGR","Grant","Subvention","Over Thirty Months Payment program","Programme de paiements pour l'abbatage des animaux de plus de trente mois",0,0,0,0,23000000,22688397,0,0,0,0
"AGR","Contribution","Contribution","Programming related to the Agricultural Flexibility Fund","Programme lié au Fonds Agri-flexibilité",0,0,0,0,62348146,22709468,61523345,41898590,62589778,51701074
"AGR","Grant","Subvention","(S) Canadian Cattlemen's Association Legacy Fund","(S) Fonds pour l'avenir de la Canadian Cattlemen's Association",10000000,10000000,10000000,10000000,8435258,8435258,4893823,4893823,500000,500000
"AGR","Contribution","Contribution","(S)Class contribution payments for repositioning of the canadian beef and cattle industry","(S) Paiements de contributions par catégorie pour le repositionnement de l'industrie canadienne du bovin de boucherie",0,0,0,0,0,0,-466711,-466711,0,0
"AGR","Contribution","Contribution","(S) Class contribution payments for the Farm Income program","(S) Paiements de contributions par catégorie pour le programme de revenu agricole",0,0,0,0,-11332,-11332,-50382,-50382,0,0
"AGR","Contribution","Contribution","(S) Class contribution payments for the Transitional Industry Support program","(S) Paiement de contributions par catégorie pour le programme d’aide transitoire à l’industrie",0,0,0,0,-2452,-2452,-48088,-48088,0,0
"AGR","Grant","Subvention","(S) Class grant payments for the Farm Income program","(S) Paiements de subvention par catégorie pour le programme de revenu agricole",-19341,-19341,-19341,-19341,-22178,-22178,-80733,-80733,-15213,-15213
"AGR","Grant","Subvention","(S) Class grant payments for the Transitional Industry Support program","(S) Paiements de subvention par catégorie pour le programme d'aide transitoire à l'industrie",-42326,-42326,-42326,-42326,-31441,-31441,-63445,-63445,-47902,-47902
"AGR","Contribution","Contribution","(S) Contribution in support of the Grain and oilseed payment program","(L) Contributions à l'appui du Programme de paiements relatifs aux céréales et oléagineux",-79161,-79161,-79161,-79161,0,0,0,0,0,0
"AGR","Contribution","Contribution","(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery","(S) Paiements de contributions pour le programme d'aide en cas de catastrophe agricole - Agri-relance",-9125324,-9125324,-9125324,-9125324,256164031,256164031,230881403,230881403,13636085,13636085
"AGR","Contribution","Contribution","(S) Contribution payments for the AgriInsurance program","(S) Paiements de contributions pour le programme Agri-protection",502915244,502915244,502915244,502915244,514918800,514918800,571643883,571643883,677986995,677986995
"AGR","Contribution","Contribution","(S) Contribution payments for the AgriInvest Kickstart program","(S) Paiements de contributions pour le programme de démarrage d'Agri-investissement",0,0,0,0,-2750759,-2750759,-395935,-395935,-118030,-118030
"AGR","Contribution","Contribution","(S) Contribution payments for the AgriInvest program","(S) Paiements de contributions pour le programme Agri-investissement",26725121,26725121,26725121,26725121,29238998,29238998,24270703,24270703,28625258,28625258
"AGR","Contribution","Contribution","(S) Contribution payments for the AgriStability program","(S) Paiements de contributions pour le programme Agri-stabilité",419478123,419478123,419478123,419478123,332045069,332045069,160083297,160083297,354579880,354579880
"AGR","Contribution","Contribution","(S) Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","(S) Paiements de contributions pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks",0,0,0,0,-169672,-169672,-202916,-202916,-1255802,-1255802
"AGR","Contribution","Contribution","(S) Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management","(S) Contributions pour la gestion des risques agricoles - Gestion des risques de l'entreprise du programme d'avances printanières bonifié",0,0,0,0,-1060707,-1060707,-6139593,-6139593,-4771735,-4771735
"AGR","Contribution","Contribution","(S)Contributions in support of Business Risk Management programs under the Agricultural Policy Framework - Agriculture Policy Initiatives","(S)Contributions à l'appui des programmes de gestion des risques de l'entreprise en vertu du Cadre stratégique pour l'agriculture - Projets de politiques agricoles",0,0,0,0,0,0,-321817,-321817,0,0
"AGR","Contribution","Contribution","(S) Contributions in support of Business Risk Management Programs under the Agricultural Policy FrameworkProvince-Based Programs","(L) Contributions à l'appui des programmes de gestion des risques de l'entreprise en vertu du Cadre stratégique pour l'agricultureProgrammes provinciaux",-346409,-346409,-346409,-346409,0,0,0,0,0,0
"AGR","Contribution","Contribution","(S) Contributions in support of Business Risk Management programs under the Agricultural Policy Framework - Province-Based programs","(S) Contributions à l'appui des programmes de gestion des risques de l'entreprise en vertu du Cadre stratégique pour l'agriculture - programmes provinciaux",0,0,0,0,0,0,-531392,-531392,-8500,-8500
"AGR","Contribution","Contribution","(S) Contributions in support of the Assistance to the Pork Industry Initiative","(S) Contributions à l'appui de l'Initiative d'aide à l'industrie porcine",285811910,285811910,285811910,285811910,35961951,35961951,0,0,0,0
"AGR","Contribution","Contribution","(S) Contributions in support of the Cost of Production benefit","(S) Contributions à l'appui de l'Indemnité pour coûts de production",0,0,0,0,-46122,-46122,0,0,0,0
"AGR","Contribution","Contribution","(S) Contributions in support of the Grain and Oilseed Payment program","(S) Contributions à l'appui du programme de paiements relatifs aux céréales et oléagineux",0,0,0,0,-8119,-8119,0,0,0,0
"AGR","Contribution","Contribution","(S) Contributions in support of the Grain and Oilseed Payment program","(S) Contributions à l'appui du programme de paiements relatifs aux céréales et oléagineux",0,0,0,0,0,0,0,0,-14751,-14751
"AGR","Contribution","Contribution","(S) Contributions to a transition to future risk management programming","(S) Contributions à la transition aux programmes futurs de gestion des risques",0,0,0,0,-12630,-12630,-44664,-44664,0,0
"AGR","Grant","Subvention","(S) Grant payments for the Agricultural Disaster Relief program / AgriRecovery","(S) Paiements de subventions pour le programme d'aide en cas de catastrophe agricole - Agri-relance",3194488,3194488,3194488,3194488,0,0,0,0,0,0
"AGR","Grant","Subvention","(S) Grant payments for the Agricultural Disaster Relief program/AgriRecovery","(S) Paiements de subventions pour le programme d'aide en cas de catastrophe agricole - Agri-relance",0,0,0,0,0,0,0,0,100000,100000
"AGR","Grant","Subvention","(S) Grant payments for the AgriInvest Kickstart program","(S) Paiements de subventions pour le programme de démarrage d'Agri-investissement",-12516727,-12516727,-12516727,-12516727,-68645,-68645,-141473,-141473,-8766,-8766
"AGR","Grant","Subvention","(S) Grant payments for the AgriInvest program","(S) Paiements de subventions pour le programme Agri-investissement",113554405,113554405,113554405,113554405,167403296,167403296,224158458,224158458,192215825,192215825
"AGR","Grant","Subvention","(S) Grant payments for the AgriStability program","(S) Paiements de subventions pour le programme Agri-stabilité",0,0,0,0,39497611,39497611,129254806,129254806,64045303,64045303
"AGR","Grant","Subvention","(S) Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","(S) Paiements de subventions pour l'Initiative de transition du programme canadien de stabilisation du revenu agricole pour l'évaluation des stocks",-80392,-80392,-80392,-80392,-1520072,-1520072,-1732956,-1732956,-558164,-558164
"AGR","Grant","Subvention","(S) Grants in support of the Cost of Production Benefit","(S) Subventions à l'appui de l'Indemnité pour coûts de production",-1324896,-1324896,-1324896,-1324896,-141479,-141479,-5784,-5784,-53570,-53570
"AGR","Grant","Subvention","(S) Grants in support of the Cull breeding swine program","(L) Subventions à l'appui du Programme de réforme des porcs reproducteurs",-17900000,-17900000,-17900000,-17900000,0,0,0,0,0,0
"AGR","Grant","Subvention","(S) Grants in support of the Grain and Oilseed Payment program","(S) Subventions à l'appui du programme de paiements relatifs aux céréales et oléagineux",-263742,-263742,-263742,-263742,-129908,-129908,-33725,-33725,-20871,-20871
"AGR","Grant","Subvention","(S) Grants payments for the Agristability program","(L) Paiements de subventions pour le programme Agri-stabilité",105225412,105225412,105225412,105225412,0,0,0,0,0,0
"AGR","Grant","Subvention","(S) Grants to agencies established under the <MI>Farm Products Agencies Act<D>  (R.S.C., 1985, c. F-4)","(S) Subventions aux offices établis conformément à la <MI>Loi sur les offices des produits agricoles<D> (L.R.C. (1985), ch. F-4)",600000,0,600000,0,600000,0,600000,0,600000,0
"AGR","Contribution","Contribution","(S) Loan guarantees under the <MI>Canadian Agricultural Loans Act<D>","(S) Prêts garantis en vertu de la <MI>Loi canadienne sur les prêts agricoles<D>",2032185,2032185,2032185,2032185,232470,232470,141041,141041,204107,204107
"AGR","Contribution","Contribution","(S) Payments in connection with the  Agricultural Marketing Programs Act ","(S) Paiements relatifs à la  Loi sur les programmes de commercialisation agricole ",28545776,28545776,28545776,28545776,33997707,33997707,44949155,44949155,0,0
"AGR","Contribution","Contribution","(S) Payments in connection with the Farm Income Protection Act — Crop Insurance program","(S) Paiements relatifs à la Loi sur la protection du revenu agricole- programme d'assurance-récolte",0,0,0,0,0,0,-35769,-35769,0,0
"AGR","Contribution","Contribution","(S) Payments in connection with the Farm Income Protection Act -Net Income Stabilization Account (NISA)","(S) Paiements relatifs à la Loi sur la protection du revenu agricole - Compte de stabilisation du revenu net (CSRN)",0,0,0,0,0,0,-100533,-100533,0,0
"AGR","Contribution","Contribution","(S) Payments in connection with the <MI>Agricultural Marketing Programs Act<D> (S.C., 1997, c. C-34)","(S) Paiements relatifs à la <MI>Loi sur les programmes de commercialisation agricole<D>  (L.C. (1997), ch. C-34)",0,0,0,0,0,0,0,0,62606580,62606580
"AGR","Contribution","Contribution","(S) Spring Credit Advance Program Business Risk Management","(L) Gestion des risques de l'entreprise du Programme des avances de crédit printanières",-2094826,-2094826,-2094826,-2094826,0,0,0,0,0,0
"CEO","Other Transfer Payment","Autre paiement de transfert","Items not required for the current year","Éléments non requis pour l'exercice en cours",0,0,0,0,0,0,0,0,0,0
"CEO","Other Transfer Payment","Autre paiement de transfert","Reimbursement of election expenses to candidates and parties for the 41st General Election (political financing provision under the Canada Elections Act)","Remboursement des dépenses électorales des candidats et des partis concernant la
41e élection générale (disposition à l’égard du financement politique de la Loi
électorale du Canada)",0,0,0,0,0,0,59713253,59713253,0,0
"CEO","Other Transfer Payment","Autre paiement de transfert","Reimbursement of election expenses to eligible candidates for the March 2012 by-elections (political financing provision under the Canada Elections Act)","Remboursement des dépenses électorales aux candidats admissibles pour les élections partielles de mars 2012 (disposition à l'égard du financement politique de la Loi électorale du Canada)",0,0,0,0,0,0,96500,96500,0,0
"CEO","Other Transfer Payment","Autre paiement de transfert","Reimbursement of election expenses to eligibles candidates for the November 2010 by-elections (political financing provision under the Canada Elections Act)","Remboursement des dépenses électorales aux candidats admisibles pour les élections partielles de novembre 2010 (disposition de financement politique de la Loi électorale du Canada)",0,0,0,0,438217,438217,0,0,0,0
"CEO","Other Transfer Payment","Autre paiement de transfert","Reimbursement of eligible election expenses to candidates and political parties for the 41st General Election (political financing provision under the Canada Elections Act)","Remboursement des dépenses électorales admissibles aux candidats et aux partis politiques concernant la 41e élection générale (disposition à l'égard du financement politique de la Loi électorale du Canada)",0,0,0,0,0,0,0,0,446587,446587
"CEO","Other Transfer Payment","Autre paiement de transfert","Reimbursement of eligible election expenses to candidates for the November 2012 by-elections (political financing provision under the Canada Elections Act)","Remboursement des dépenses électorales admissibles aux candidats pour les élections partielles de novembre 2012 (disposition à l'égard du financement politique de la Loi électorale du Canada)",0,0,0,0,0,0,0,0,540083,540083
"CEO","Other Transfer Payment","Autre paiement de transfert","(S) Quarterly allowances to registered eligible political parties and subsidies to electoral district associations for auditor's fee(political financing provision under the Canada Elections Act)","(S) Allocations trimestrielles aux partis politiques enregistrés admissibles et subvention aux associations de circonscription pour les frais de vérificateurs(disposition à l'égard du financement politique de la Loi électorale du Canada)",28203969,28203969,28203969,28203969,28351676,28351676,30188419,30188419,23271703,23271703
"CEO","Other Transfer Payment","Autre paiement de transfert","(S) Reimbursement of election expenses for the October 2009 by-elections, political financing provision under the Canada Elections Act","(S) Remboursement des dépenses électorales aux candidats admissibles pour les élections partielles d'octobre 2009, disposition à l'égard du financement politique de la Loi électorale du Canada",498683,498683,498683,498683,0,0,0,0,0,0
"CEO","Other Transfer Payment","Autre paiement de transfert","(S) Reimbursement of election expenses to political parties and candidates following the 40th general election","(S) Remboursement des dépenses électorales des candidats et des partis politiques à la suite de la 40e élection générale",0,0,0,0,0,0,0,0,0,0
"CEO","Other Transfer Payment","Autre paiement de transfert","(S) Reimbursement of eligible election expenses of other general elections and by-elections, to  political parties and candidates(political financing provision under the Canada Elections Act)","(S) Remboursement des dépenses électorales admissibles des autres élections générales et élections partielles aux partis politiques et candidats (disposition à l'égard du financement politique de la Loi électorale du Canada)",-1518277,-1518277,-1518277,-1518277,494800,494800,-208551,-208551,63309,63309
"CIDA","Contribution","Contribution","Contributions for Bilateral Programming: Contributions in support of development assistance, contributions for cooperation with countries in transition and contributions in support of regional or country specific development assistance programs, projects and activities for the benefit of developing countries or territories or countries in transition","Contributions pour la programmation bilatérale : Contributions pour l'aide au développement, contributions pour la coopération avec les pays en transition et contributions à l'appui de programmes, de projets et d'activités d'aide au développement visant des pays ou des régions donnés au profit des pays ou territoires en développement ou des pays en transition",876296982,875578158,876296982,875578158,892739659,891030467,764941464,739926150,707977590,623710091
"CIDA","Contribution","Contribution","Contributions for Multilateral Programming: Contributions in support of development assistance, humanitarian assistance or disaster preparedness, for global operations, programs, projects, activities and appeals for the benefit of developing countries or territories or countries in transition","Contributions pour la programmation multilatérale : Contributions pour l'aide au développement, l'assistance humanitaire ou la planification préalable aux catastrophes, à l'égard d'opérations, de programmes, de projets, d'activités et d'appels mondiaux au profit des pays ou territoires en développement ou des pays en transition",7051946,7046160,7051946,7046160,20230758,20230758,306733332,306733332,242776592,242776592
"CIDA","Contribution","Contribution","Contributions for Partnerships with Canadians Programming: Contributions for development assistance programs, projects and activities intended to support development for the benefit  of developing countries or territories or countries in transition or to enhance the awareness, understanding, and engagement of Canadians with respect to development","Contributions pour la programmation des partenariats avec les Canadiens : Contributions pour les programmes, les projets et les activités d'aide au développement destinés à appuyer des initiatives liées au développement au profit des pays ou territoires en développement ou des pays en transition ou visant à augmenter la sensibilisation, la compréhension et l'engagement des Canadiens à l'égard du développement",231372851,227733887,231372851,227733887,225515509,225515509,251070923,250518510,245277370,231477370
"CIDA","Grant","Subvention","Grants for Bilateral Programming: Grants for cooperation with other donor countries for the benefit of developing countries or territories or countries in transition","Subventions pour la programmation bilatérale :Subventions pour la coopération avec d'autres pays donateurs au profit des pays ou territoires en développement ou des pays en transition",3295958,3293254,3295958,3293254,4863184,4863184,4673194,4673194,8840319,8840319
"CIDA","Grant","Subvention","Grants for Multilateral Programming: Grants in support of development assistance, humanitarian assistance or disaster preparedness, for global operations, programs, projects, activities and appeals for the benefit of developing countries or territories or countries in transition","Subventions pour la programmation multilatérale : Subventions pour l'aide au développement, l'assistance humanitaire ou la planification préalable aux catastrophes, à l'égard d'opérations, de programmes, de projets, d'activités et d'appels mondiaux au profit des pays ou territoires en développement ou des pays en transition",1935775950,1934188036,1935775950,1934188036,1892610109,1892610109,1977509222,1962509222,1917523753,1725090980
"CIDA","Grant","Subvention","Grants for Partnerships with Canadians Programming: Grants for development assistance programs, projects and activities intended to support development for the benefit of developing countries or territories or countries in transition or to enhance the awareness, understanding, and engagement of Canadians with respect to development.","Subventions pour la programmation des partenariats  avec les Canadiens: Subventions pour les programmes, les projets et les activités d'aide au développement destinés à appuyer des initiatives liées au développement au profit des pays ou territoires en développement ou des pays en transition ou visant à augmenter la sensibilisation, la compréhension et l'engagement des Canadiens à l'égard du développement",11536914,11527450,11536914,11527450,9577500,9577500,14227812,14227812,28482486,28482486
"CIDA","Other Transfer Payment","Autre paiement de transfert","(S) Encashment of notes issued to the development assistance funds of the international financial institutions in accordance with the International Development (Financial Institutions) Assistance Act","(L) Encaissement de billets délivrés aux fonds d'aide desinstitutions financières internationales conformément à la Loi d'aide au développement international (institutions financières)",268097439,268097439,268097439,268097439,249133809,249133809,285582426,285582426,247881121,247881121
"CIDA","Other Transfer Payment","Autre paiement de transfert","(S) Pursuant to Section 144 of the Budget and Economic Statement Implementation Act, 2007, a payment to the World Bank for the Advance Market Commitment for Pneumococcal Vaccines in respect of the period commencing on April 1, 2012 and ending on March 31, 2013, in an amount not to exceed $24,504,170","(L) En vertu de l'article 144 de la Loi d'exécution du budget et de l'énoncé économique de 2007, un paiement à la Banque mondiale pour la garantie de marchés pour le vaccin contre le pneumocoque, pour la période commençant le 1er avril 2012 et se terminant le 31 mars 2013, d'un montant ne devant pas dépasser 24 504 170 $",0,0,0,0,20258857,20258857,22926021,22926021,24443233,24443233
"CSC","Contribution","Contribution","Contributions for the purpose of providing parolee services, individual and group inmate services, community education and involvement, as they relate to correctional services and other complementary services","Contributions en vue de fournir des services aux libérés conditionnels, des services individuels et de groupe pour les détenus et d'assurer l'éducation et la participation du public relativement aux services correctionnels et à d'autres services complémentaires",1411794,1411794,1411794,1411794,1351000,1333355,1351000,1251984,1351000,638314
"CSC","Grant","Subvention","Grant to the University of Saskatchewan College of Medicine for a psychiatric residency seat","Subvention au Collège de médecine de l'Université de la Saskatchewan, subvention pour l'obtention d'une place en psychiatrie",96000,88691,96000,88691,100000,25000,111565,111565,116904,85412
"CSC","Grant","Subvention","Grant to the University of Saskatchewan for a Forensic Research Centre","Subvention à l'Université de la Saskatchewan pour un Centre de recherche judiciaire",122000,120000,122000,120000,122000,120000,122000,120000,122000,120000
"EA","Contribution","Contribution","Afghanistan counter-narcotics program","Programme de lutte contre la drogue en Afghanistan",0,0,0,0,0,0,12000000,12000000,6000000,6000000
"EA","Grant","Subvention","Annual host-country financial support for the United Nations Convention on Biological Diversity","Soutien financier annuel pour le pays hôte de la Convention des Nations Unies sur la diversité biologique",917902,917902,917902,917902,907744,907744,1093936,956265,1114294,1036990
"EA","Contribution","Contribution","Annual Voluntary Contributions to Inter-American Drug Abuse Control Commission","Contributions annuelles volontaires à la Commission interaméricaine de lutte contre l'abus des drogue",0,0,0,0,0,0,0,0,1000000,999448
"EA","Contribution","Subvention","Anti Crime Capacity Building Program","Programme d’aide au renforcement des capacités antiterroristes",5058221,5058219,5058221,5058219,0,0,0,0,0,0
"EA","Contribution","Contribution","Asia-Pacific Economic Cooperation Secretariat","Secrétariat de coopération économique avec l'Asie-Pacifique",532000,521189,532000,521189,596000,568095,581304,535532,644141,641355
